米米是我妈妈 ​​​
赵二哥曾经亲自研制过一款专供自己使用的面霜，因为是用白玉碾碎了龙合子而成，因此起名“玉龙膏”。（史料：“今谓面油为玉龙膏。太宗皇帝始合此药，以白玉碾龙合子贮之，因以名焉。”）可见在宋朝时，赵二哥研制且用过的面霜就会成为美容护肤品的代名词，那么只能说明：赵二哥的容貌好以及皮肤白在宋 ​​​ ...展开
尼玛啊老子笑得尿两滴 ​​​
女主党是世界上最恶心的物种 ​​​
穿一下女主吧 ​​​
轉發微博
俺不中了……
师尊别这样，我只是想刷鲛人泪药王谷女修修炼手札超话 ​​​
药王谷女修修炼手札超话 非常好的小葱配色！ ​​​
好想一直睡觉啊 ​​​
呵呵，每个bjd都想买 ​​​
 ​​​
#SVIP体验卡免费领# 我已成功领取3天SVIP体验卡。快来点击卡片领取，主页访客、留言、去机型小尾巴、动态头像、评论气泡等超多尊贵权益等你来体验!   ​​​
轉發微博
轉發微博
轉發微博
