//@憬曙:#警察因公牺牲# #实名举报# 2025年3月17日我来到了辽宁省公安厅信访接待大厅，反映我丈夫因公牺牲后，没有享受到因公牺牲待遇，我拿着因公牺牲证明书却享受病故待遇？
//@有胜微博655://@与晋源分局侯建华抗争到底://@誓与晋源分局e警侯建华抗争到底:://@兴县康候娥://@互转互动WQ中://@誓与晋源分局e警侯建华抗争到底:​​​在朗朗乾坤之下，本应是法治昌明，公平正义如高悬之明镜，照拂每一个公民。然而，我亲身经历的案件却让我看到了截然相反的黑暗一幕。在涉及 ...展开
#生活手记# 我的父亲任根全岀生山西省武乡县王家峪村的一个贫苦的农民家庭，抗日战争时那里是八路军总部，父亲参加了朱德儿童团，曾受到朱德总司令的颁奖。1942年参加八路军，在八路军129师385旅769团当战士，是邓小平的战士，是李德生将军的通讯员， 1947年刘邓大军转战大别山时在湖北麻城负伤，在李 ​​​ ...展开
//@四川冷眉V:问：众所周知全红婵是享誉中外的中国女子跳水运动员、奥运会冠军，她13岁打破世界记录，14岁一跳封神，寒门贵子的全红婵获得了党和政府授与的多种荣誉，并被中华全国总工会授予全国五一劳动奖章，为什么全红婵就没有人说她是非法童工呢？答：党和政府认为她不是童工而是运动员，劳动法规 ...展开
//@记录者孺子牛:#卢铁男恶意拖欠报销款# #上海元方科技违法裁员恶意欠薪# #铁公鸡 卢铁男# //@朴实靠谱:#复旦大学 牛军钰# #上海元方科技拖欠工资# #脑梗大叔泣血控诉老赖上海元方科技# 拖欠工资超话复旦大学超话 ...展开
//@内蒙古包头焦威://@谁来关注弱者生存://@重庆南岸杨立群://@重庆市南岸周朝英:只为自已捞钱，不为百姓办事。请@中国警察网@中国警方在线@最高人民检察院@公安部刑侦局@北京12345@司法部@中国新闻网@中国政府网@重庆市政府网 #政法队伍教育整顿#  #新闻联播# #中纪委监察部# 关注微博
//@云南昭通肖瑾:恕我直言，我个人认为郭全生不可能是内蒙古最大的黑社会头子，因为黑恶势力都是有保护伞的，如果最大的头子都倒了，那保护伞还不全军覆没了吗？谁能证明你们上访反映的问题得不到解决的原因不是与保护伞这个更大的黑恶势力的存在关系密切呢？显然答案是谁也不会证明，谁也不愿意证明， ...展开
//@山东东营头条://@泉城大济南:
//@内蒙古包头焦威://@四川资阳冤民张锦英://@四川资阳冤民张锦英:上头条超话头条博客超话网络举报超话热点事件超话国家纪委监委网站超话今日头条超话中国纪委超话知乎超话祖国反黑站超话#社会新闻# 2025年1月我再次收到市政府部门告知书称，复查？查啥？你们勾结 ...展开
//@四川冷眉V:曹德旺、任正非、董明珠、刘强东、雷军……他们是惊涛骇浪中领航的风帆。从做企业到做事业、做人品、做道义，做理想和信念，他们是中国民营企业的灵魂人物，而他们所率领的中国最优秀的民营企业是什么？毫无疑问中国优秀的民营企业就是改革开放新时代冲锋陷阵之无敌于天下的八路军和新四 ...展开
//@南阳张衡派出所炮制构陷冤案://@盐城陈德实://@内蒙古包头光明之子任红光://@云南昭通肖瑾:恕我直言，我个人认为郭全生不可能是内蒙古最大的黑社会头子，因为黑恶势力都是有保护伞的，如果最大的头子都倒了，那保护伞还不全军覆没了吗？谁能证明你们上访反映的问题得不到解决的原因不是与保护伞这个 ...展开
//@盐城陈德实:院长屁股上画眉毛——面子大
//@云南昭通肖瑾:恕我直言，我个人认为郭全生不可能是内蒙古最大的黑社会头子，因为黑恶势力都是有保护伞的，如果最大的头子都倒了，那保护伞还不全军覆没了吗？谁能证明你们上访反映的问题得不到解决的原因不是与保护伞这个更大的黑恶势力的存在关系密切呢？显然答案是谁也不会证明，谁也不愿意证明， ...展开
//@老兵专版:长期不解决人民提出的问题，千方百计打压提出问题的人民。遇到问题说是历史遗留问题，实际上他们每天都在为历史遗留问题。官方所说的每一句话，百姓都在质疑！百姓质疑的每一件事，官方都在否认！官方否认的每一件事，最后都被证实 最后证实的每一件事，都是不了了之 @新华视点 #领航中国# ...展开
//@重庆市刘:从严治党，从严治警，严查公检法，政法委，纪委，特别是农村干部！请:@中国警察网 @中国政府网 @中国警方在线 @公安部刑侦局 @平安北京 @北京12345 关注微博
//@常州黄兰珍:马良甫在2014年2月21日听证上狂言“法院先予执行强拆我家房屋时搬入的提存安置房他说要你们进去就进去，要你们出来就去来，街道有的就是钱”中国新闻网 @中国长安网 @红星新闻 @央视网 @澎湃新闻
//@云南昭通肖瑾:巫舜列抢夺陈乐卫一次性救济款现金19500元惹人怒，巫舜列家大业大，家财万贯，财富富敌国，陈乐卫贫困户救济款的救命钱被巫舜列抢夺而逃，陈乐卫看在眼里痛在心里，脱贫致富，共同发展，共同富裕。@广东政法 @广东公安@广东检察@揭阳政法@平安揭阳 @揭阳检察@中国网@中国周刊 ...展开
//@四川冷眉V:美防长称美国不寻求与中国开战，但会为战争做好准备，国际社会怎样解读显然是不同的立场有不同的观点，但既然是不寻求与中国开战那为战争做好准备又是准备要与谁开战呢？我个人认为，此地无银三百两，白宫的不打自招恰恰是表明了美军已经准备对中国开战了，他们只不过是在等待一根点燃战 ...展开
#生活手记# 中国兵器集团公司董事长程福波同志您好：  我叫任红光是中国兵器集团公司内蒙古北方重工的退休员工。1972年参加工作，出生在一个革命家庭，我的家乡在山西省武乡县王家峪村，抗日战争时那里是八路军总部。父亲1938年参加八路军，在129师385旅769团当八路军。为建设新中国做出了巨大贡献，我 ​​​ ...展开
#生活手记#  ​​​
#生活手记#  ​​​
//@内蒙古包头焦威:实名举报@包头中院  赵红玲违法审判，枉法裁判！@包头市九原区法院  樊俊峰违法审判，枉法裁判！
//@四川冷眉V:这真是穷人的孩子早当家呀！
//@雨花石18361553872:北京超话为中国军人点赞超话@人民日报全国党媒平台 @中国政府网 @中国退役军人 江苏省徐州市丰县 有着15年兵龄的职业军人转业即失业，现在成三无人员：无工作、无社保、无土地，医保出现在农村，参加的还是城乡居民医保，咱也不知道是哪个单位在造假？目的是什么？到底是 ...展开
//@四川冷眉V:119打不通那肯定不能随便认为是119的问题，相信也决不是党和政府的任何部门有问题，人民是当家做主的主人，大概率应该是人民的电信部门有点小问题，比如通讯瑕疵，或者是人民群众的手机档次太低了，报警人操作不专业，主要责任还是在人民群众身上。一栋楼如果就这样烧了也就烧了，119不救 ...展开
//@劳春燕:能干家务又能提供情绪价值，具身智能要不要来一个？#劳唠两会# #AI有了身体会怎样# #两会观察团#
//@海南海口左荣民退役军人:#全国两会# #中国政府网.政务# 从昨晚发这条博文三，四次，一直都是屏蔽的状态，微博正文微博管理员 #微博监督员##今日微博爆料# 我一切都是有报警回执的，都是有理有据的，治病救人要紧、求救、救命！SOS微博正文🙏🙏🙏// ...展开
//@重庆巴南鱼洞刘光芬:从严治党，从严治警，严查公检法，政法委，纪委，特别是农村干部！请:@北京12345 @中国政府网 @最高人民法院执行局 #中纪委监察部# #12337全国政法干警举报平台# @公安部刑侦局@中国警方在线@最高人民法院 @最高人民检察院 @平安北京 关注微博
//@四川冷眉V:今天的中国还有谁记得二战爆发前夜最宁静的风暴中心是在哪里吗？好象专家和公知们都心照不宣的对这个问题保持了沉默，不过我是很想去莫斯科的红场上走走看看，也问问长眠不醒的斯大林同志这个问题的答案是什么，因为当年的斯大林同志是不太相信欧洲的焦虑也将会是苏联的噩梦，他还沉浸在 ...展开
#生活手记#  ​​​
#生活手记# 《把黑社会郭全生侵吞的农民工260万血汗钱归还给农民兄弟》。2008年3月，江苏，河南等地农民工: 夏红军、徐峰、赵如春、程帮永、秦忠等260多人、受雇于邢振声、参加宏发公司万号酒店第27、28层，及地下一层的装饰装修工程。由于，宏发公司未能如期完成土建，安装工程，    甚至装修设计的图 ​​​ ...展开
//@四川冷眉V:一个帐号粉丝多少并不重要，重要的是这个帐号的政治站位，也就是在舆论的阵地上你插的什么旗，你吹的什么号。我有过3个帐号，最多时只有两万粉丝，但众所周知我拒绝了的粉丝远在五千万以上，为什么呢？这是因为我的阵地上高高飘扬的是共产党人的旗帜，是中华民族奋勇向前的冲锋号，我必须 ...展开
#生活手记# 本人任女士，原内蒙古安装公司的在职职工，1981年参加工作，1988年4月来到内蒙古安装公司与包头建设银行联办的储蓄所工作。2004年5月企业“非法”改制时与本人强行解除劳动关系。（该企业是郭全生黑恶势力头目，通过纠结社会闲散人员不法流氓分子，收买贿赂地方贪腐官员，压制残害员工等暴 ​​​ ...展开
#生活手记# ​​​
我发表了头条文章:《我们要工作我们要吃饭把我们的企业和财产归还给我们！》  ​​​
//@广东省唐建平冤上加冤://@全国人大 国家纪委监委网站超话#法治中国# 2025年百姓诉求；强烈要求司法机关公开腐败份子插手、干预有关案件审判、案件监督造成法官枉法裁判、检察官违法监督的案件处理情况。人们都知道：每一件枉法裁判案件，都必然与腐败份子脱不了干系。据纪监网站和大众媒体报道 ...展开
//@内蒙古包头焦威:实名举报@包头中院  赵红玲违法审判，枉法裁判！@包头市九原区法院  樊俊峰违法审判，枉法裁判！
//@秦男恨吏N:#老兵的悲哀# :陕西公检法的腐败对中央依法治国是一个鲜明的对比。请:@中国政府网@中国长安网@中国警察网@中国警方在线@中国法律评论期刊@中国法学会@中国普法@中国网@陕西发布@新浪陕西@陕西政协@陕西新闻广播@陕西都市热线@陕西公安@陕西网@陕西日报@陕西高院@陕西检察@看见陕西 ...展开
//@桂义律师://@重庆荣昌舒跃连://@邓庆高律师:社会是一个整体，我们每个人都在其中影响这个整体，每个人的每个举动都会产生或大或小的影响力。彼此珍惜、共同努力！//@李爱军律师:关注邓律师就是关注未来的自己//@邓庆高律师:2012年做律师十三年以来，这还是我头一次在法庭上被人打，不知其他律师是否 ...展开
//@内蒙古包头焦威://@33wyx:@333wyx
//@重庆市刘光芬3:从严治党，从严治警，严查公检法，政法委，纪委，特别是农村干部！请:@自然资源部@公安部刑侦局@中国警方在线@北京12345@全国人大@司法部@最高人民检察院@最高人民法院@平安北京#12337全国政法干警举报平台#关注微博
//@陈春光维权:我方提交的书面意见指出未依法送达强拆催告（且已经过异议、复议正在诉讼中），申请强拆不符合受理条件，应该裁定不准许执行，临安法院以催告是否合法正在诉讼中为由裁定强拆申请中止审查，而不直接裁定不准许执行，存在错误。我方多次找院长及国土部门负责人交涉至今无果。 ...展开
//@广东省唐建平冤上加冤://@天道玄通://@用户5211258493://@广东省唐建平冤上加冤:经二检审查结案了事！适用法律错误，导致冤假错案无法得到法律保护。受害者唐建平为父亲平冤昭雪，反被冤上加冤。请问！二检察官们！正义何在？公平何在？杀人凶手无罪，毁坏财物有罪。人命大？财物大？ ...展开
//@广东省唐建平冤上加冤:国家纪委监委网站超话 #法治中国# 过年了！有良知官员应当想一想，这样明显的历史冤案，当年集中复查时为什么会漏查；既然漏查了，按照当时政策改正就是了。如此简单问题当局麻木不仁，在公仆网上无限发酵，对稳定，对于维护党有错必纠政策的公信力是十分有害吗？？？  ...展开
//@广东省唐建平冤上加冤://@全国人大 国家纪委监委网站超话#法治中国# 2025年百姓诉求；强烈要求司法机关公开腐败份子插手、干预有关案件审判、案件监督造成法官枉法裁判、检察官违法监督的案件处理情况。人们都知道：每一件枉法裁判案件，都必然与腐败份子脱不了干系。据纪监网站和大众媒体报道 ...展开
//@东明微爆料://@盐城陈德实:续拍《父与子》，开机一定请@江苏省高级人民法院 夏道虎院长来#盐城# 为他的爱将许连助威！@盐城中院
//@广东省唐建平冤上加冤://@全国人大 国家纪委监委网站超话#法治中国# 2025年百姓诉求；强烈要求司法机关公开腐败份子插手、干预有关案件审判、案件监督造成法官枉法裁判、检察官违法监督的案件处理情况。人们都知道：每一件枉法裁判案件，都必然与腐败份子脱不了干系。据纪监网站和大众媒体报道 ...展开
//@浙江沈荣法冤案://@东明微爆料://@东明微爆料:单位一把手，潘若亭主任，都没有收到东卫发（2014）13号决定！请问东明县卫生健康局，周元武局长，谁能收到东卫发（2014）13号决定文件！不送达法律文件停发庞旭杰工资，违法吗周元武局长？
#生活手记# ​​​
//@版纳东鸽:请问@云南省人民政府 的王省长，我邮寄给您的材料证据一年多了，还没有回复处理，你是什么主义？什么行为？他们违反了《宪法》《妇女权益保障法》等法律及云南省政府、省移民局的文件规定，不应该去查一下吗？@云南发布  查看图片 查看图片 查看图片
//@吉林四平邹清海冤案://@王维高之妻://@青岛刘加元://@青岛刘加元://@青岛刘加元://@青岛刘加元 //@青岛刘加元://@青岛刘加元://@青岛刘加元://@王维高之妻://@青岛刘加元://@青岛栾惠欣://@王维高之妻://@青岛栾惠欣://@青岛刘加元://@王维高之妻://@青岛刘加元://@青岛刘加元://@青岛栾惠欣:// ...展开
#生活手记# 夏红军等农民工一案，2008年3月，江苏，河南等地农民工: 夏红军、徐峰、赵如春、程帮永、秦忠等260多人、受雇于邢振声、参加宏发公司万号酒店第27、28层，及地下一层的装饰装修工程。由于，宏发公司未能如期完成土建，安装工程，    甚至装修设计的图纸都没有，造成无法按期开始装修工程， ​​​ ...展开
本人任女士，原内蒙古安装公司的在职职工，1981年参加工作，1988年4月来到内蒙古安装公司与包头建设银行联办的储蓄所工作。2004年5月企业“非法”改制时与本人强行解除劳动关系。（该企业是郭全生黑恶势力头目，通过纠结社会闲散人员不法流氓分子，收买贿赂地方贪腐官员，压制残害员工等暴虐手段将企业 ​​​ ...展开
1970年北京军区63军在内蒙古军@管在包头市军管的部队番号是1561部队，当年我13岁腿负伤住进1561部队医院，医院在包头市东河 区工人疗养院，医院有一位20岁的女护士，是 63军孤胆英雄刘光子的女儿，叫刘继军。
//@浙江沈荣法冤案://@迟仁华实名举报人我是复仇的雄鹰:🙏🙏🙏🙏所有的文案。文章。都是事实。如果没有事实。迟仁华实名举报人我愿意付一法律责任和刑事责任中国🇨🇳北京的律师事务所！真的太🐂牛啊》国家纪委监委网站超话原告违法被告犯罪？房租2万收 ...展开
#生活手记# 本人任女士，原内蒙古安装公司的在职职工，1981年参加工作，1988年4月来到内蒙古安装公司与包头建设银行联办的储蓄所工作。2004年5月企业“非法”改制时与本人强行解除劳动关系。（该企业是郭全生黑恶势力头目，通过纠结社会闲散人员不法流氓分子，收买贿赂地方贪腐官员，压制残害员工等暴 ​​​ ...展开
夏红军等农民工一案，2008年3月，江苏，河南等地农民工: 夏红军、徐峰、赵如春、程帮永、秦忠等260多人、受雇于邢振声、参加宏发公司万号酒店第27、28层，及地下一层的装饰装修工程。由于，宏发公司未能如期完成土建，安装工程，    甚至装修设计的图纸都没有，造成无法按期开始装修工程，因而没能按照 ​​​ ...展开
//@内蒙古包头焦威:任法官对魏福旦其子“另案处理”，从立案到判决，追逃没有？另案处理没有？至今快五年了什么情况？任法官借此来封魏福旦的口，防止魏福旦和盘托出任法官枉法裁判事实。另案处理判决书第19页。 查看图片
//@浙江沈荣法冤案:浙江湖州｜沈荣法：我维权，你维稳，你们这是非要逼我杀人吗
#生活手记# 光明之子。内蒙古安装公司，有638人被黑社会郭秃子非法解开除。企业非法转制时  没有召开职工代表大会。拥有上百亿的国有资产全部被转移。企业被做成了负资产。所谓的买断工龄是黑老大郭秃子的的霸王条款郭，没有按照国家政策执行。许多职工没有拿到买断工龄费，企业欠职工的工资也没有给发 ​​​ ...展开
我分享了 @四平邹清海喊冤 的头条文章  ​​​
改正错误化解矛盾，建设和谐社会！
