谁这么会照顾人呀 ​​​
本来我想着回去找他弄下头发 结果今天才发现他发了这么多广告 好了这下真没我看得上的理发店了  我真该剪头发了但是我找不到心仪的理发店就不会动🦭 ​​​
感冒好了我必须喝喝看 其实没那么想喝 嘴太闲了 ​​​
好喜欢老师啊好喜欢 ​​​
我的第二次兼职是在一家更加专业的培训机构 在商场里 环境和水平都比私人的机构更加专业更加好 当然对员工的绩效考核也是更严格 我当时作为一个助教时薪50 一周一结 我觉得很满意 但是我依然对机构的手段和一些细节感到唏嘘 还有就是我当时应该还在犯迷糊 我估计当时还在焦虑障碍的阶段 所以整个人精神 ​​​ ...展开
我是非常非常憎恶老派教师的 我不断回想到那个暑假去兼职当助教 那个老师姓潘 既教数学又教英语 小孩子们上的是从幼儿园刚升入小学的衔接班 他儿子是机构主人的老公 她儿子很傻逼 无限维护他妈 说他妈是十年老教师 我现在还能想到他那副嘴脸 他最后面对我的一些不友好的举动 潘老师教课很无聊 而且讲 ​​​ ...展开
不出意外我觉得专业课热点会考RCEP 我认真说嘟 因为今年刚好全面生效一周年 ​​​
脑子里一直在转什么1/2多少➖多少 应该是在算什么人数 然后我就索性睁开眼睛想 要不起来吧背书好了 还想着现在去图书馆肯定没人更早了会被当成傻逼 我以为现在少说6:30了 一开灯才3:28 ​​​
经过一天的努力 咱们的线代和概率论有的飞跃性的进步 🥰 那这个时候可以说是事物的最后一刻起到决定性作用 前面都是没用的吗 错误🙅 因为量变必然引起质变 量变是质变的必要前提 质变是量变的必然结果 事物是曲折性和前进性的统一 ​​​
我好像发捎了 ​​​
算一道题花了七分钟最后没有选项 我又算什么 🤥 ​​​
那我点的外卖算什么 我也想吃肉 ​​​
没什么想说的 吃什么都一个样 这个饺子吃着快还不撑 每餐都吃🥲 ​​​
好难受呀头沉沉的一直流鼻涕擦鼻涕打喷嚏喉咙干干的也没食欲🦭 ​​​
人和生活都是复杂的 如果每件事情都是跟熨好的衣服一样没有褶皱 人生就从立体变成平铺的了 我总是会想到以前的事情然后感到心烦 突然我发现 这些 当你看到了立体性的必要 就能接受这些错误什么样的生活都没有标准的 花时间在学校读书考研不是蠢 我在这样的行为里面探索自己的潜力 触摸自己的边界 我 ​​​ ...展开
世界上好看的东西太多了，没必要去在意一部分的东西。这个感悟后面的故事很复杂。但我想说的是🦭 你可以去看茨威格的昨日的世界 可以去看小红书上别人发的漂亮的照片 可以去看风景 而不是非要看谁是不是设为不让你看他的朋友圈了 非要焦虑依赖别人渴求周围的人都喜欢自己 这些真的都是太小的一部分 ​​​
我觉得有烟火气的人是特别好的 一个华丽丽的人依然在菜场讨价还价、给自己缝补衣服，是脚触碰到生活的地板、过踏实的生活的，被包装的人倒是要时刻警惕着，他们不敢落到地面，一直被别人的吹嘘捧起来、漂浮着，维持这样的状态太辛苦了。人是要真实的。 ​​​
睡了…12小时？？ ​​​
🚩 ​​​
分享图片 ​​​
老🪨等下给我不及格怎么办 ​​​
手冷打字滑 ​​​
唉 爽到了 大落地窗单人座 ​​​
去听 太好了 太喜欢了吧 声音和内容都很好 是我最近找到最好的播客了 ​​​
