对男人祛魅最好的方式就是接触男人 ​​​
我来个2024部分年终总结➕25年的小期许吧  2024这一年，真的经历了太多的事情，结束一段十多年的友谊，也结束了一段不健康的恋爱关系。但是也有很好的事情，遇到了很好的同事，每天上班都嘻嘻哈哈的。工作上虽然磕磕绊绊的，但是也算顺利。  2025年，要学会爱自己，不要内耗。要去多接触新的事物， ​​​ ...展开
吃遍南浔所有新开的米线店 ​​​
才想起来忘记发12月的七七八八了 ​​​
昨天晚上玩好剧本杀 去吃夜宵 有个男的 真的是渣的来  但是又不装 都是第一次见面 把全部的都说出来了 真的是又当又立不过听他说的   整个人都通透了男人啊 真的是没几个好东西 ​​​
我又在加班了我真的困死3.睡 8.起我眼睛都睁不开 ​​​
昨天真的是被累到了 没想到会走这么多 而且还没都打卡完 ​​​
打卡打卡 ​​​
今天长这样 ​​​
分享图片 ​​​
丸辣感觉礼拜天去svt快闪店要花好多钱啦 一定要克制自己！ ​​​
今天好丧 真的好丧 ​​​
我一次次信任你 而你却一次次的背刺我 ​​​
一年了 真的好快
我最近每天都睡的很早 但是每天都做梦 而且每天梦到的都是你崩溃了么 ​​​
今天长这样 ​​​
这怎么就又月底了我的活还没干完啊 ​​​
我现在不知道该是什么心情同情你亏了这么多钱？可是又想到你跟我在一起的这段时间 我是真没想到你这么有钱啊 还在跟我哭穷 还说你没了父母什么都不是 每个月三千多的工资然后 我看你的步数 应该是周末两天都出去了还有线下支付 是跟新的对象吧 我真的不知道你说的 你是真的亏钱了 还是假的你的 ​​​ ...展开
接！！//@别吵教导主任来了:必须！！！//@烫金真爱册:接//@一支小暗暗:我的2025请这样//@脆皮鸭颜究員:我2025必须这样活//@快递员吴彦祖:我2025必须这样//@今天不想当香什么香:😇🙏🏽//@眼泪拌饭_w:接
我的企业微信头像真的很符合我的精神状态 ​​​
这个活怎么干不完的干啊我这个礼拜可能又要加班了我真的愣是把双休干成单休 ​​​
这个礼拜终于吃顿像样的饭了以及今天长这样（该擦镜子啦 ​​​
罗森的辣条肠 真的是爱了 太好吃了 ​​​
我真的是一个好容易好容易多想的人 ​​​
每天上班跟玩一样 真的很开心 ​​​
动作记住百分之60了 但是捋不顺做的也不好看//@小徐小徐有点甜:谁懂啊 就只学会转圈//@小徐小徐有点甜:第一天 好难啊 手脚不协调 好僵
决定不去泰国了真的没钱 ​​​
头发剪的好短我现在真的好丑一个崩溃了 ​​​
这个月没有在好好记录生活 记录了的也都删掉了些 ​​​
又是加班的一个周末不想干活 ​​​
又开始催我找对象了 有病吧 我才不找 死都不找 ​​​
每天拍抖音 感觉就像是在做任务了已经失去最开始的乐趣了 ​​​
果然年底了就开始忙了每天过的都好充实 ​​​
我真的是个好敏感的人啊 ​​​
笑死我了哈哈哈哈哈哈哈 ​​​
真的很没礼貌 昨天大晚上的 你先来找我说事情的 然后今天早上我给你发了两大串文字哎 你不回了？？？？太没礼貌了吧！ ​​​
在任何情感中 不挽留就说明不在乎了 ​​​
大赏大赏！
还得是bigbang
这辈子都无法共情无缝衔接的人 ​​​
久违的周末加班 ​​​
为什么不去日本场 这舞台也太小了吧🙃
谁懂啊 就只学会转圈//@小徐小徐有点甜:第一天 好难啊 手脚不协调 好僵
我要回归追星了把我之前拉下的物料全部都补上 只有追星才是最快乐的 ​​​
真的很会自嘲了 ​​​
我真的气的发抖死渣男 无缝衔接 ​​​
//@草莓牛奶味的Haru:初帝又在默默回榜🔝
