#心动礼遇季#啊啊啊啊被@天猫 宠到了！我在活动中集到1张心动卡集齐1张心动卡和1张礼遇卡，合成就能赢至高6180元，听说5月31日当天礼遇卡掉落几率超大，大家快来试试​ ​​​
#分享白菜达人的红包#我在@分享白菜达人 的红包中抽到了1.68元，你也快来试试手气吧，比比谁抢得多！ ​​​
#金蛇添福迎新年# 添福卡惊喜开奖！巳巳如意，蛇年福星当属我~成功开出@微博开新年 送出的1.58元福运红包，新年一定“蛇”么都好~！ ​​​
#我最想推荐的人#给大家推荐 @分享白菜达人 创建的“明星红包”分组，如果你觉得他们的微博还不错也可以关注这些人  ​​​
#快来接杨紫的wonderful#我领取了@奇瑞汽车 送我的爱情FUL卡，愿人生之路满是坦途，快来收集新年好运吧～ ​​​
我在由@极氪ZEEKR 发起的#新年新愿极氪实现#限定集福中，抽到了极氪平安卡，收集新年心愿，“极氪”就实现！ ​​​
我在由@极氪ZEEKR 发起的#新年新愿极氪实现#限定集福中，抽到了极氪平安卡，收集新年心愿，“极氪”就实现！ ​​​
我在由@极氪ZEEKR 发起的#新年新愿极氪实现#限定集福中，抽到了极氪福到卡，收集新年心愿，“极氪”就实现！ ​​​
我在由@极氪ZEEKR 发起的#新年新愿极氪实现#限定集福中，抽到了极氪暴富卡，收集新年心愿，“极氪”就实现！ ​​​
我在#微博寻年记#活动中获得@SDE上海钻石交易所 发出的【灵蛇献瑞】卡，快来一起试试吧！天然钻石，以珍稀致真心～ ​​​
我在#微博寻年记#活动中获得@SDE上海钻石交易所 发出的【瑞蛇呈祥】卡，快来一起试试吧！天然钻石，以珍稀致真心～ ​​​
#快来接杨紫的wonderful#我领取了@奇瑞汽车 送我的好运FUL卡，愿人生之路满是坦途，快来收集新年好运吧～ ​​​
#快来接杨紫的wonderful#我领取了@奇瑞汽车 送我的爱情FUL卡，愿人生之路满是坦途，快来收集新年好运吧～ ​​​
有点实力在身上！#金蛇添福迎新年# 边抽卡边解锁0.08元惊喜红包，继续做任务抽添福卡，新年红包滚滚来！话不多说，一起来~  ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添喜事#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添好运#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添喜事#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添喜事#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添福气#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#达菲萌友龙年全家福#我在@达菲友你 的红包中抽到了1.03元，你也快来试试手气吧，比比谁抢得多！ ​​​
#达菲萌友龙年全家福#大吉大利 ​​​
#疯狂动物城彩头节#好 ​​​
#迪士尼奇妙新春团圆季#好运在此！我在@上海迪士尼度假区 的红包中抽到了星露台餐厅指定套餐减10元抵扣券，靠谱又惊喜，快来嗨抢吧！ ​​​
#迪士尼奇妙新春团圆季# 啊啊啊 ​​​
#迪士尼奇妙新春团圆季# 健健康康 ​​​
#迪士尼奇妙新春团圆季# 啊啊啊啊 ​​​
#疯狂动物城彩头节# ​​​
#疯狂动物城彩头节#啊 ​​​
