道法自然，道法万千，道心破碎，道可道，非常道 ​​​
做了红薯上很火的盒马内酯豆腐加酒酿加牛奶，吗的好难吃。永远年轻，永远被小红薯骗。 ​​​
Back from 山东，有印象的碎片。在淄博吃烧烤，边吃边看隔壁桌一个美女。美女画着特别典型小红书式的妆容，隔着老远也能看清卧蚕的珠光白，头发像洋娃娃卷卷的。吃薯条也是美女吃法，张大嘴只碰牙齿不碰嘴唇，吃完薯条转而叼了一根烟，自己一边抽一边拿烟盒给朋友劝烟。让朋友拿着手机她对着屏幕录抖 ​​​ ...展开
我真的受不了了小池姐
劳尔挽着劳一莞尔一笑甜甜吐出Love is here~~ 好 好 观众也是你们play的一环 my life doesn’t matter
梦见特别creepy的一个场景，不知出于什么原因我靠近一只关在笼子里的小老鼠，也许是靠得太近了，它从笼子缝里钻出来钻进了我裤子上的洞里（梦里我也穿破洞牛仔裤吗），能想象到它爬行了一会儿，然后它就消失了。半梦半醒之间不知道是被蚊子咬了还是过敏了，意识不清地开始疯狂挠脖子挠腰，起来照镜子一 ​​​ ...展开
这样的老公还有什么好说的//@撒把老鼠药就老实了:我服了
Repost
毫无疚意的能说超级幸福的一天…每支乐队的现场都比录音室好无数倍。乱七八糟的repo：Motorama全员像斯莱特林毕业然后一不做二不休去当了银翼杀手，冷酷无情，绝不动摇。泽拉黛女士，神奇女侠转行当歌手罢了。The Vaccines，好典的英国人，这么热的天上台严丝合缝穿衬衫。The Royal Concept，主唱金发 ​​​ ...展开
抢不到票我杀了你们
延迟发一发，密度巨大的一个月。太子湾-上海-天台国清寺-成都-酒球会-良渚-西里湖-南昌景德镇。然而summer youth camp结束了|-| ​​​
看时尚博主的购物分享在一堆衣服饰品护肤品里种草了硅胶挂地扫把 ​​​
春日寺中奇遇：在寺里转悠了一圈眼馋别人带的水果，小钟说我们去人少的地方晒太阳，眼不见为净，蹲着看盆栽时一个师父托了一盘苹果走过来说小姑娘给你们两个！于是我俩兴高采烈地开始啃苹果晒太阳，小钟说吉利话，2024祝你平平安安，要是有橘子就好了，大吉大利。过一会儿师父托了一盘橘子说吃完了苹果 ​​​ ...展开
Repost
什么时候回到我的舒适圈 ​​​
