笑死我了//@Broccoli重度依赖:劳斯就这样给留疤批猛猛做饭我不行了
//@堪破三春景不长://@我又有一些真知灼见://@一个特别虚荣的人:真的看哭了，祝一切都好//@我拖拖拉拉://@磊磊漂亮:好伟大//@展台手册://@你别说还真是这样:好牛//@逆转的桥_Bridge://@青厌君:🥹//@InsGirl:天呐🥹好了不起//@在困倦了:看哭了…谢谢妳祝福妳伟大的女人勇敢的小狗妈妈
？？？有毛病啊//@Setareh_7:又土又缺德//@普拉卡奶兔:怎么说呢又丑又有病//@李某正在潜逃:他妈的连这种断子绝孙的钱也赚//@新西兰冷百科孙小社:我昨天看到以后的感受就是替当地动植物和生态环境感到心痛。
沃土好像真的要成为kpop史上前无古人后无来者的长寿女团了吧……//@銀座一番女探偵:這次真的可以說你媽媽有嗎你媽有嗎了⋯
小菜会越做越好的。想要solo的人都应该听： ​​​
创作、编曲、视觉，小菜全部自己操刀，自己找了大部分的合作伙伴，包括宣传期参加的网综节目也是小菜自己联络的…公司只需要配合拍好该有的物料，安排好日程，就这样都做不到。永恨…不管怎样，我会陪着小菜在vol.2、vol.3弥补出道专的遗憾的//@氫氟酸洗头:因为想准备更充分一点，所以本来决定四月 ...展开
好萌好多call backs
我不行了 23真的很有那味
眼影涂脚底我不行了
一起听起🎧
钥匙挂饰为什么不用小菜自己设计的图样…T恤为什么不印小菜的画…
。。//@CampBunny://@wrldwide_andrew_co://@Ruby_Sparks://@Amortentiaz://@陀螺的ToroScope://@免庖丁:实际上，对kirk开恶毒玩笑的反而不会被cancel，这是养蛊的好靶子。凡是混过饭圈的人都能明白，这就是虐粉的最佳时机。真正需要被清除的，反而是鸡毛这样的人：他一针见血（虽然言辞温和 ...展开
推上有人传lonely doll waltz了 超级萌啊完全懂彩说它“可爱、古怪、生涩”，是个让人会心一笑的小礼物 ​​​
献给女孩们//@猫用面包://@為何在赤地外獨行:是这样//@逃跑專家-:真的好喜欢这首最喜欢这首…我少女时代一个平常的午后，我就这样坐在阳台边摆弄自己喜欢的玩具、贴画书，玩奇迹暖暖，幻想自己是各种身份…但我又只是一个小女孩。
哇啊 girrrrrrrl
i度爆表
i得不行了 ​​​
星船又有救了
完全aigi 查看图片
哇哦
痛衫卖我
2场solo舞台拼的耶mv里特别喜欢这一身和短发的搭配，很casual的同时又有戏剧感，感觉是风之谷女战士或者小人国的女飞贼
哎呦真是..//@_T酱_:连起来就是 This is for once♡大好きだよ 查看图片
码
彩儿太平洋宽肩上的责任感 ​​​
我不行了吧 在彩儿表明自己是jb狂饭之后主持人突然一个粉籍大公开，表示出道曲优雅地就爱上沃土了，17年就去过演唱会🆘整这一出 ​​​
infp彩儿为音药闯作变身社牛 原来请三兄弟来看演唱会那次是第一次见面 ​​​
也是我的最爱
拍一下cha//@-robinsonko:素的，一直跳到老涂完全离开顽石宝宝的视野//@你是哪裡的垃圾堆:shoot那段的蜜菜是ミナ酱先开始跳舞，看到这个场景的彩涌酱笑了出来，然后她们两个就一起跳了，而且是直到屏幕完全降下来前，她们都一直在跳…🥺 查看图片
salute👍🏻
哇 时长好长的对谈， 播客节目吗，码住 我女说要多多展现内心的想法和真实面貌是认真的
掐了中间那段 不够听啊
好空虚 好即墨 像是一场盛大的烟火转瞬间只剩下一些纷纷扬扬的碎屑
谁说的八个李湘看王诗龄//@到底是谁用了我想用的ID:为何笑笑姐如此慈祥
😋😋
特别特别珍贵…
我真服了呀……//@堪破三春景不长:看到“纪念杀人那天”这我不行了//@青梅脆啵啵:叹为观止//@六点准时打卡: 查看图片 //@莫管劳资:脑子里到底装的啥才能这么奇葩//@无情艾迪西:看完全文我失语了//@爱踢答人:以后能实行入网资格考试吗//@翘屁嫩喵呜:好有病吧真的好有病吧
👏🏻
啊啊啊这套造型
//@CampBunny://@Healing_CheonSa://@sao动这party://@日常冲动后尴尬://@快闭上焦虑眼睛://@yourgirlye://@静候节假日:从小洗脑到大
？什么东西啊！
酷酷的帅帅的萌萌的俏皮的
守护这个瓦斯兰德…
好喜欢…练习室版的几个跳跃动作特别帅ww
哦莫居然是007 沃土除了三柜子之外听得懂mc讲话吗
就这么水灵灵地出发跑团体行程了……好空虚
这么美…这么用心准备的一张专辑 应该有更多舞台更多好造型的 我恨
刷起
好哦
猫好狗好🥲
最后烟火没有直接的画面而是映在眼中也是小菜自己的设计喜欢听小菜安静地讲幕后故事和创作理念
彩儿自己也很满意编舞，我也很满意编舞
想萌死谁
最想要的同款却是非卖品 ​​​
