以后每天清晨醒来都要朗读一遍加深印象 ​​​
逼我的时候我什么下限都没有 为了逃离这个家我什么人都可以依靠 不过是从火坑跳到油锅里 死法不一样罢了 如果我是男的我也强奸杀人 给我关进去小几年出来又是一条好汉 没道理的事做就做到最绝 我从来不吝啬自己的歹毒 要多少有多少 ​​​
看吧 又在骂我了 这个家早就容不下我了 漂亮话谁不会说，事实是什么样就是什么样 我自己的事情我自己担着跟他们也没关系 所以何必再互相消耗 好聚好散得了 ​​​
跟牛羊肉相比，猪肉就失宠了 鸡肉更是抢他的风头 市场焦虑了 ​​​
明天早点去，我还想看看那只德文，感觉好乖 ​​​
鲜肉的颜色可好看了，粉扑扑的 表面还有一层水汽在照灯底下亮莹莹的 哇塞也是美的了 天天听师傅夸赞这小五花多漂亮 但我觉得西肋是最好看的 五花也不赖 前腿的梅子肉是真养眼 小里脊也可以 肉质的纤维感和纹路都非常美 鲜肉的手感也特别好 软软的切起来像在切橡皮泥 我要是一只狮子能猎杀一只羚羊，该 ​​​ ...展开
好多顾客都觉得生肉脏 他们不懂这种爽感，不懂 ​​​
今天的肉太鲜了，拿闸刀一剁，血都喷我手上了 笑死了感觉好爽 我要是食肉族就啃上去了 嘎嘎给力 ​​​
好希望饭菜可以自己做熟 碗可以自己刷干净 好想回家就吃饭，吃完倒头就睡 天越来越冷，越不爱动了 ​​​
可能就是群星天蝎闹的，我就跟半个蝎子一样 最擅长的事情就是假正经 ​​​
今天怎么才周日时间过得太慢了 我等不及了 早知道周二再歇了 还能多一天准备时间 ​​​
特别喜欢玩悬 铤而走险 天天赌这个赌那个 行走在各种人事物规则的边缘 感觉刺激又过瘾 ​​​
可能时不时的还有点儿血腥 变态 扭曲 狠辣 背德 诡异 神经……整个人鬼感很重吧 emmm ​​​
嗯，毕竟我的人格底色又黄又暴又黑暗 这样的性格根本拿不出手吧 ​​​
其实朋友圈我也是可以发的 但我就是想有一个能畅所欲言的地方而已 所以无所谓是哪里 说美了就行 ​​​
真不中了，抖音上的美女一瞬间咋都变成男扮女了 可能是我太爱看美女了 宁愿给我推ts也不给我推帅的 好好好 ​​​
比比来北京不会还奔酒吧吧 老铁咱真别喝了胃跟肝还是得要的 ​​​
感觉最近把自己养的特别好 虽然病还是没好，无所谓啦 ​​​
噗嗤 ​​​
有点儿好笑，老有顾客问，肉干不干净，手干不干净，咋没人问那刀干不干净 ​​​
天天动脑子算数感觉要长脑子了 事实证明只要嘴上功夫强数学不好也没关系 ​​​
做法做过头了 9点才下班求求了明天继续 这样就可以分担8月节的客流 ​​​
来财 来 我开始做法了 ​​​
听起来像找了个保姆 ​​​
妈宝女好想找个人照顾我的生活起居 我天天连被子都没时间叠!我可以负责一切外交和贸易财政工作 ​​​
打不死的蘑菇 ​​​
下一步准备盯着米面油蔬菜肉调料的价格 为了独立，现在就得开始学着过日子 ​​​
我改变主意了，我要养一只德文 ​​​
商场里的德文好可爱 感觉比暹罗还可爱 ​​​
赚钱和节俭才是贯穿穷人漫长一辈子的课题 ​​​
天天就盯着零食和食材促销 便宜我就买了 ​​​
我也想自己带饭，又能省下一笔 但是我自己不会做，也没人给我做 ​​​
10块的鸡排，10块的鲜牛奶，10块的西红柿，10块的鸡蛋 2元的冰激凌，半天工钱进去了 ​​​
捶死一切懦弱和矫情 cnm ​​​
绿豆水比薏米的好喝 ​​​
赶紧逃离原生家庭 我们家不接受我任何形式的成长 也许离开我才能飞起来 ​​​
靠新鲜的骨髓流出来了 刚才剁排骨剁出来的 ​​​
还有三个半小时才能吃饭，好想被投喂 ​​​
病毒再不滚，我就把自己饿死 ​​​
瞄准一件事，一个人如果不耗到死几乎就不会停止 ​​​
我现在最大的优势就是还年轻，可塑性强 只是第一份干下去的工作是销售，我以后可能就会沿着这条路走下去 我不喜欢总变动 ​​​
再也不干自讨苦吃的事儿了 ​​​
傻逼 ​​​
前阵子就是病毒给闹的，这两天要好了，脑子也清醒了 ​​​
让我学东西，说话都没问题 就是别老折腾我，别让我干太重体力的活，我这身子骨真承受不起 ​​​
依旧觉得上班比上学开心轻松太多 玩着就上了，还有钱拿 ​​​
就是特别烦 睡不好觉，整个人效率都是低下的 ​​​
今天开始促销 上班就得顶上销售压力 这几天必须休息好了 1号去采购，要不2号该没力气出去了 ​​​
老晕的乎的 感觉有人在动我的脑子 ​​​
感觉我最近像上一个任务周期完成了，开启下一个任务周期了 不知道之后会把我带到哪里 ​​​
实在不行就把我埋了吧! 活的好尴尬 ​​​
不中了 ​​​
讲的都是我不爱听的 解决问题也说不到点上 嗯 跟他们说一句话，我得用10句话解释我什么意思 能急死我 ​​​
我发现我现在跟家里人都不是一个图层 我讲五句话，没有一句能对得上 完全的不在一个频道了 ​​​
要不我也出去租房住吧 受不了了 ​​​
没睡够就老是困的 原本我自己睡够一个睡眠循环，自己就醒了 他妈老这样我还咋上班 ​​​
我的因果能不能给我自己背着 我不想背你们的因果 我一定活的比你们好 ​​​
即便是出于关心还是要伤害我一下，怎么想的 ​​​
本来活的挺好的，到我爸妈那儿就是贱命一条 ​​​
每天既要又要打算什么时候放过我 ​​​
每天就这样内忧外患 ​​​
苍天饶过谁，已经被生活打的无力还手 ​​​
我现在记忆力跟在意力怎么那么不好 感觉十五六岁的时候还没事儿呢 是因为疫情嘛感觉越来越差了本来身体就不行，这下脑子也瓦特了 ​​​
前20年一直在上学，从来没停歇，活的好痛苦现在想过点自己的生活为什么不行呢 控制欲能不能别太强 我真的是亲生的吗 ​​​
家里有房有车，那房子跟车写的也不是我名字也不是我的 这辈子目标必须得有一套60平的小房子，一辆能载我旅行的小汽车，我从22岁开始算 我要攒多久的公积金 tm一辈子也就挂这了 不为我打算就算了怎么还添乱呢 你们活的很好吗 自己受一辈子累，也没为我减少多少痛苦 唉 ​​​
本身就无钱无势 出了校门干什么我都得接受 因为我不想给小孩擦屁股，一辈子困在一个地方 一个人从0开始打拼在你们眼里那么容易吗 现在还是光上班就能养活自己的年代吗 ​​​
一个开滴滴 一个干幼师 一个剁猪肉 谁就比谁轻松吗 一天到晚哪来的那么多穷精力 ​​​
好烦 ​​​
30号还不好我就去打针 但也别在今天打扰我 一个月如果不调班儿就能歇两天 我都快累崩了 怎么不知道心疼人呢?! ​​​
