买噶的天疲劳时我想死中医说我没有心气天哪 我的心气去哪里了每天都半死不活 ​​​
回家要躺个三天三夜补补气血我的天啊啊啊啊太困了一想想又是几十个小时的飞机好的 再也不想回国了 ​​​
#日常分享# ​​​
#日常分享# ​​​
🌵˖°𓇼🌊⋆🐚🫧👙 ​​​
果然旅游的时候会变美太喜欢这种热乎乎的天气有海风有沙滩有黄油有面包🥑🦤🏝️😑🐿️ ​​​
我是干什么都不会成功的人吧毕竟说减到90斤我已经喊了快20年然后到了这把年纪就会安慰自己说还是胖点好看 ​​​
一快来姨妈就tm想死了 激素可怕的很 ​​​
今年雪真的多 ​​​
🐱🐱🐶🐶 ​​​
好想吃石锅鱼和福鼎肉片番薯丸emm看着照片口水都要流下来 ​​​
很讨厌一个人坐飞机啊啊啊一个多月没健身了我的天啊啊 感觉一点力量感都没有了 ​​​
真的很想回家了啊啊过两天就回去了好开心 ​​​
冬天晒太阳真的舒服了好喜欢晒太阳习惯了多伦多冬天都要开暖气的室内这一回来不开暖气真的会冻死裹着厚厚的睡衣可以在被窝里躺一天 ​​​
卷发对我这个手残党太难了 早上让章鱼教我卷个八字刘海都学不会 shit 还是戴帽子吧 ​​​
不长痘的话我的烦恼会减少百分之八十 痘痘太烦了吧 ​​​
汕头的吴记尊的很好吃哇 ​​​
旅游的时候都吃的很少因为一旅游就便秘一便秘就完全不想吃东西 ​​​
感觉回来天天都在吃石锅鱼 ​​​
明天就回国了那种想回去又不想回去的感觉😑😑我和sxj说这次回去我肯定不买衣服了结果还没回去就已经买了十几件外套🙃 ​​​
🍁🍁 ​​​
我说去几天四晚吧四晚三夜？ 付什么cash还是现金我说话都不会经过大脑的嗯嗯 ​​​
🍁🥨🐿️ ​​​
坐个长途腰已经痛的拉屎都不敢用力shit啊啊啊啊啊年纪大了哪里都痛 ​​​
这啥啊啊啊这马上就年底了年底要回国了 也焦虑shit明天要带狗子去mtl 感觉已经去吐保持我的情绪稳定嗯嗯嗯嗯嗯嗯 ​​​
真的就是什么事情都没做就感觉好疲惫啊啊啊啊啊 ​​​
每洗一次头 吹完一地头发感觉头发都要掉光 ​​​
巧克力蛋糕做成了巧克力糊糊 buttttt 还是很好吃的hhhhhh ​​​
🧄🎃🌿🌿🍄 ​​​
虽然不是那么好吃 但是还是可以吃的 ​​​
心血来潮 来做个香蕉蛋糕吧sxj说…我做的东西狗都不吃没关系狗不吃我吃……… ​​​
我猜星座有点厉害可以通过长相说话方式性格来猜太神了 ​​​
🐱🐱🐶🐶 ​​​
🍔 ​​​
终于等到腊肠puppy瑜伽专场啦然后大家几乎都没在瑜伽基本都在撸狗hhhh ​​​
小徐做的牛腩超好吃！！感觉好久没吃青菜了 不喜欢吃菜了啊啊啊也不用那么营养均衡吧 反正每天还是可以拉 ​​​
太难吃了都吃完了 ​​​
发现好多我喜欢吃的饭馆都倒闭了新开的都是各种踩雷 ​​​
🌿🌿 ​​​
其实发现变成瘦子很容易但是又瘦又有线条就很难一瘦臀围就掉 ​​​
打瘦脸怕脸垂凹陷 打太阳穴又怕脸变宽年纪大了化妆都掩饰不住的沧桑感 ​​​
练完臀腿猪瘾也很大明天想吃炸鸡小面😑 ​​​
代谢这个东西搞不懂昨晚吃了炸芋头糕炸鱼 吃火锅 而且我吃火锅一定要吃米饭和麻酱吃完又吃了两块月饼 豆沙包芋头包 无花果 今天一称 噢掉了0.1kg😑这两个星期 就去健身房一次😑最近这酱油打的很酱油 ​​​
感觉自己不说话还行一说话就觉得好像脑子不大好中秋回家吃饭咯 越长大越越珍惜和家人在一起吃饭唧唧歪歪的日子🌙🎑 ​​​
☁️☁️ ​​​
粗门就是开心在家呆太久会让我失去灵魂😑 ​​​
就是烦死了#烦死了烦死了##烦死了艹##烦死了##烦死啦# 再也不想做微针了啊啊啊啊 ​​​
已经好久不喊减肥了发现不减肥的时候体重就很稳定想吃什么就吃什么 不暴饮暴食就行连睡眠质量都嘎嘎好 ​​​
每次拉屎都能坐到腿麻起来的时候根本站不住之前听过拉屎都能拉成植物人我是信了😑但是我可不要拉屎拉到变成植物人😑 ​​​
#日常碎片plog# 又只能乖乖在家呆一天 ​​​
做个prp黄金微针真的疼的我快晕倒了 ​​​
有种什么都提不上劲的感觉就连去dt都那么无聊了😩 ​​​
我妈这个手艺我可是精准的遗传到了她说这是南瓜包里面还有葡萄干我说可以加点核桃🎃 ​​​
微博莫名又可以用了😑😑😑 那就用用吧 ​​​
