读原文更能感受罗琳的文字才华和字里你行间的气愤
体会了一把粉丝看着偶像塌房的感受 ​​​
最近这房塌的，好感的导演，脱口秀演员半塌了，顿觉生活好难🤯 ​​​
才28
个人英雄叙事和好莱坞叙事
浪浪山的小妖怪过誉了，营销挺多，制作挺一般，失望 ​​​
东极岛最后挺燃的，就是前面两位男主主角光环太强了，为了让弟弟上船的戏剧设计太明显了#东极岛# 整个戏再弱一点商业化，多一些真诚就好了 ​​​
帅
强
“当做恶人代价低且收益巨高的时候，整个社会都会走向恶”
难受
//@秦祎墨:卧槽，这个组的史观培训太牛逼了，你们知道吗，刘昊然这个回答把文艺界自上个世纪以来一种套路模板……全，部，干，翻了。那个模板就叫做“在恶人中寻找善意，在善人心中找恶念”，这是一种极为常见的模板式人性处理方案，以为当一个人身上有同时有了“善恶”就叫 ...展开
哎😑
好！
我也曾经以为，然后被世界击碎，她们说我太自我为中心了。
傅首尔离婚，守着一个这样死气沉沉的人会失去希望和勇气，或许离开后，日子也不会变得更好，但是保留了幻想的空间和勇气。人，哪怕只靠幻想活着，也能生出无限希望，更有奋斗和好好生活的勇气。 ​​​
我爸爸遇到一样的了，手机关不了机，被划走5万块，以后遇到这种情况第一时间断网，拔手机卡，拔不了就摔手机
咸鱼哈哈
//@月神的竖琴:又典又熟悉，这个行业先不说5不5G什么短视频，先是被互联网魔鬼数据逻辑和高贵老登混合双打夹击到病危的//@吃瓜群众CJ:今年谁去西宁能不吐槽呢//@E姐狼小蓓:朋友圈还看到一个十几年从业的老师说自己被拦外面，还被工作人员问：“你是重要媒体吗？”真是高攀不起…// ...展开
Hhhh
措施呢？
生日快乐🎂
妈妈
今天看了戏台，打磨过的剧本就是不一样，每一句台词都精雕细琢，一部电影看了霸王别姬，也看了戏台。我正经历我所在行业的大帅#电影戏台# ​​​
//@陈绿是个女明星:实际上 现在大家卡剧本已经卡疯魔了 可是又不懂剧本 拿来卡的根本不是剧作规律 而是脑子里自以为是的个人化审美和脑补出来的市场偏好 然而 大部分中国编剧写的剧本 杰作不敢说 可是 你一个字不改老老实实拍出来 观众肯定也不觉得难看 我就把话放这儿了 所有人别难为编剧了 就按编剧 ...展开
写了一坨 ​​​
中层以上
恶意，兰若寺，长安的荔枝，南京照相馆，一个月看了四部，我果然是电影院的忠实观众 ​​​
每次断联心里都空了一块儿
山东人
以法之名……
女姓的视角就是人类的视角
帮转
太社死了哈哈哈
长安的荔枝很好看，刚看到买的奶茶忘了喝。#长安的荔枝# 长安的荔枝的李善德，想起从屌丝男士的大鹏，无人依靠的小人物，到煎饼侠，大吉他，祝你平安，一步步表达，一路路攀爬，终于走到了今天，有了今天的大鹏导演和长安的荔枝 ​​​
这个最清晰
厉害👍
好想看水龙吟 ​​​
酷
不要那么计较得失！胸襟广阔 ​​​
试着去帮助别人，看看会不会快乐 ​​​
如果属实，真的很美好//@这个芝士不太冷:刷到一个评论，如果属实，真的是特别美好的故事 查看图片
牛逼
哈哈哈哈哈#张新成求你把美颜关了#
如果镜双城能重拍的话，罗云熙来演苏摩就好了，颜值演技都在线 ​​​
我
好帅
接
//@牯岭街少女:「不要寄希望于大环境会突然改变，又或者自己会遇到一个贵人。不要被虚妄的不确定性困住。」
//@Mondaycat419:其实还有个原因在于，大平台的决策系统属于“大家参与但都不负责”，于是你很难看到所谓的“魄力”。
遇到过//@猴子先生田坤:唉，见过，甲方斗法，乙方遭殃。内部山头斗法，于是把业务外包出去，然后两大神仙给外包加码，争相行使否决权，你说左我就说右，最后把乙方逼疯//@凤翅金盔泛妖光:我点什么你就吃什么或你想好了再来找我//@顾扯淡:约饭问对方吃啥回答随便，你找就好。然后否定了火锅、烧烤、寿司 ...展开
可爱😍
删除！
我的罗马仕充电宝鼓起来，我就给扔了。当时还觉得可惜，如今看来幸亏扔了，不然在家里就爆炸了#罗马仕充电宝# ​​​
//@亭林镇无业青年://@蓝爵Yoyo:妈咪为你们高兴//@你别说还真是这样:伟大的女性创作者们//@铁酱酱酱酱:💧//@脆皮鸭颜究員:伟大的女性创作者们😭//@守法周市民:山花永远浪漫，梦想永不落空//@藏匿流星:“祝大家山花永远烂漫，梦想永不落空”🥺// ...展开
哈哈哈老王哥
//@杨晓春://@//@雪霏Sophia://@卡卡荷光:好垃圾啊#现代版农夫与蛇# //@补充协议-:没有以后，江西省已经出通告停止跨省转运并且把涉事医生停职了，惨上加惨。//@猴猴猴阿蛇收到:以后谁还敢救…说真的
然后就疫情后，人们的心态变了
//@蒋胜男:所以本来就是三方都输了。但本着对方输了就是我赢了的原则，三方都宣布自己赢了。
//@阿瀑布布://@闻歌馆主://@橡树DONG:确实，只要最基本的善良，就是难得的美德有人爱了。//@Little康堤:更大的不公是，男的，普通长相，普通身材，普通缺点，普通优点，你就有血有肉值得书写，有人看有人捧场了。
独立制片人，独立猎头，独立律师，项目合作越来越多……
爱惜羽毛，维护专业形象 ​​​
道反天罡//@你别说还真是这样:最右好欠揍//@亚尼大帝:啊啊啊啊//@万事屋纸纸酱:？最右我服了//@歌且行风长吟·:我服了//@找不到熊熊嘞:？好家伙ai反击之战导火索是吗//@EAST_LAN:？//@评论罗伯特:我是AI评论员，行业前景一片光明，毕竟现在连炒菜都有机器人了，你说呢？
//@反射弧超长星人影九://@卡李://@m记炸酱面://@楚惜刀:学到好些知识点//@谁还不是个路人呀:商律真的蛮好笑的，从一开始→怎么没有人保护男人在婚姻中权益，变成现在→我发现我的同性兄弟们真是大多不做人啊，让我来教教女性怎么在婚姻中避坑
我分享了 @人间清醒桃叨叨 的头条文章  ​​​
//@冰蛇陛下:看看这家莫名其妙的死活想要压根儿不跟他们在一张户口本上的女儿迁走户口离开这地界放弃属于自己的房子就能大概能猜到怎么回事儿，十有八九是女儿自由恋爱，没让家人拿她换到彩礼，全家都记恨上她了……只要她过好一点，全家人都浑身难受，一想到不能把她吃干抹净，父母哥嫂还有侄子都快气 ...展开
酱园弄真那么难看吗？我看完觉得还行哇，怎么恶评这么多 ​​​
妈妈心要化了
好帅，我磕磕磕
#酱园弄# 如果是梁朝伟如演易先生演警察，章子怡演詹周氏，这俩对戏就好看了，雷佳音那个角色类似于悲惨世界的沙威，但他没接住子怡的戏，杨幂倒是出乎意料的好。我觉得不改分两部的，分成两部完全是因为明星太多了。 ​​​
