食用指南：＊马嘉祺和张真源的梦女。＊马嘉祺是我daddy张真源是我老公。＊所有作品都是原创🈲抄袭、融梗、二改、搬运 。*各种类型都会尝试；*想到什么就写什么，主打一个写的开心大家看的开心； ＊碎碎念比较多一人。 ​​​
祺我超话躲不过*“躲什么？”*“躲就说不过去了。”password:12120930 ​​​
祺我超话 躲不过*他家小姑娘这是终于开窍了？*“躲什么？”*躲就说不过去了。password:12120930 ​​​
祺我超话 周五时刻*“我早上可是有课的！”*那就不去。password:12120926 ​​​
我要多写一点留着国庆节发！！！ ​​​
祺我超话 兔子耳朵*“人家说不可以捏小兔子的耳朵，会难受。”*谁说的？我看不会。*不错，还能贫嘴。password：12120920 ​​​
真我文超话 后知后觉的喜欢才是爱（番外）*“你悠着点行吗？”“这种事绝对没有下次。”password：04160919 ​​​
祺我超话 臣服*“她今天回来我闻到了不熟悉的香水味。”＊“行不行由不得你。”password：12120918 ​​​
真我文超话 情侣日常 ​​​
祺我超话 夫妻日常 ​​​
祺我超话 夫妻日常 ​​​
真我文超话 后知后觉的喜欢才是爱（下）＊下部分＊“现在要走？迟了吧，我可不是玩具。”password:04160914 ​​​
真我文超话 后知后觉的喜欢才是爱啊（上）＊上部分＊“你能不能别老是跟着我？”＊“因为喜欢你啊！”password:04160913 ​​​
祺我超话 夫君一诺千金（下）＊下部分＊“我的心变了，梦里都是你。”password:12120912 ​​​
祺我超话 夫君一诺千金（上）＊上部分＊“我什么都不记得了，我头晕，我只知道你是我的未婚妻。”password:12120910 ​​​
祺我超话 夫妻日常 ​​​
真我文超话 相亲对象竟然是你的顶头上司＊番外“我们只有半个小时的时间，张太太。”password:04160907 ​​​
真我文超话 可是哥哥我就是喜欢你（下）＊下部分“你就是我的选择。”password:04160906 ​​​
真我文超话 可是哥哥我就是喜欢你（上）＊上部分无🚗＊七岁那年，我有了一个哥哥＊password:04160905 ​​​
祺我超话 别再叫我小叔叔（下）password:12120904 ​​​
真我文超话 相亲对象竟然是你的顶头上司（完）还有有番外，等我。 ​​​
祺我超话 情侣日常 ​​​
真我文超话 相亲对象竟然是你的顶头上司4⃣️ ​​​
祺我超话 别再叫我小叔叔＊上部分无🚗“那你喜欢什么类型？”🔑1212830 ​​​
真我文超话 七夕特辑特别的日子要做特别的事“七夕节快乐！” ​​​
真我文超话 被我的粉发老公告白了下部分微🚗“各位请看好，我只属于她。”🔑0416 ​​​
鑫我超话 你是我的小公主微🚗＊“丁程鑫你怎么这么可爱呢？”＊“从不让你失望”🔑0224 ​​​
真我文超话 被我的粉发老公告白了＊上部分无🚗＊“各位请看好，我只属于她。”🔑082661 ​​​
分享图片 ​​​
真我文超话 相亲对象竟然是你的顶头上司3⃣️ ​​​
祺我超话 小老师🔞（下部分➕番外）＊🚗⭕🔗plq🔑0823 ​​​
轩我超话 和哥哥的日常🔞🚗＊“哥哥”＊“宝宝，真甜” 🔗plq🔑0822 ​​​
真我文超话 相亲对象竟然是你的顶头上司2⃣️ ​​​
祺我超话 小老师，你蛮有趣🔞（上部分无🚗）＊你被抽签安排给马嘉祺辅导功课＊他迟到、早退、故意刁难。＊“题可没你有趣”🔗plq🔑0820 ​​​
真我文超话 相亲对象竟然变成了你的顶头上司1⃣️ ​​​
轩我超话 和宋亚轩的日常🔞“哥哥，你属狗的吗？”“宝宝喜欢就好。”🔗plq🔑4235 ​​​
祺我超话 我大概对你一见钟情9⃣️你以后就是我老婆了（完） ​​​
真我文超话 和张真源的在家日记一则🔞有🚗🔗 plq🔑65521 ​​​
祺我超话 我大概对你一见钟情8⃣️迪士尼我来啦 ​​​
真我文超话 写完发，可蹲。 ​​​
祺我超话 让给你？可他是我的人🔞＊“姐姐，他也让给我吧。”＊“新婚快乐，那你快乐吗？”＊“我很快乐！”微🚗🔗plq🔑7788 ​​​
真我文超话 小迟哥哥很温柔🔞＊“乖乖可以吗？”＊“小迟哥哥我喜欢你。＊“我怎么会怕你呢！”微🚗🔗plq🔑2564 ​​​
祺我超话 我大概对你一见钟情7⃣️你说你喜欢我啦 ​​​
真我文超话 准备更一个迟叶枭的，今天或者明天，可以蹲蹲。 ​​​
祺我超话 醉梦🔞＊他有他的白月光，你成了笑话＊原来那年是你紧紧抓住了溺水的我＊“我爱的人是一直爱着别人的你”微🚗🔗plq🔑7215 ​​​
真我文超话 突如其来的脑洞，现在着手先写着？大概也许明后天发吧，整理整理思路，可以先蹲一蹲。 ​​​
