心里明明知道结果，还要再去确认，真的是服自己了！没有感情的婚姻好比白开水，付出再多都得不到回报，所以啊，人为什么要结婚？为什么要选我结婚？生活怎么会和谁过都一样呢？有些苦需要自己走，有些人需要自己去从心里挖掉！自己要强大，才不会被看不起！亲爱的女孩，请你从今天开始勇敢一点，很清这 ​​​ ...展开
#生活手记#这样的日子什么时候才能是尽头啊，哎！有苦说不出！ ​​​
愿：如我所加油👏 ​​​
那就祝我们好在每个春秋！  ​​​
成长就是一路跌跌撞撞，一步一个教训！#生活手记# ​​​
如果真的做好了可以孤独一辈子的决定，那就勇敢点，毕竟你才32岁呀！#生活手记# ​​​
总是心太软，让自己受伤！人啊，还不是要清醒！ ​​​
能让你温柔的人，肯定是给了你极致的爱;能让你变得沉默的人，肯定是给了你极大的伤害;能让你变得暴躁的人，肯定是让你受尽了委屈。”说明另一半的重要性！ ​​​
我已为@孙颖莎 送出助力，与蒙牛一起，参与助力吧！#巴黎奥运会# #庆祝中国夺牌蒙牛请你一杯# ​​​
无意中从朋友圈得知多年熟悉的一位家长，离婚了！很震惊……思绪仿佛回到了2016年那个夏天，她很漂亮，也很化妆、给小朋友编漂亮的发型，当时我的配班老师非常喜欢她，还亲子拜她当师傅。初次去她们家，老公很帅、高高的、和公婆住在一起，自己怀里抱着二胎，小女孩。我当时还打趣到：呀两位千金，以后 ​​​ ...展开
#龙年第一条微博#新年愿望：一愿家人身体健康二愿自己超级幸运三愿忘记2023带来的痛苦、回归正常生活 ​​​
我们都曾经努力过、错过了就是错过了，生活再多的磨难我都经历了、变成了大人的样子、退却了青春的气息，有心痛、有难过、有彷徨、有无助！现在的我活的明白、做了自己的英雄。那些日子我不知道自己怎么挺过来的，心理无数次的挣扎，也幻想有人带我走出泥潭，最后发现还是自己！爱情这东西本来就奢侈， ​​​ ...展开
