#S妈称汪小菲抢什么随便他#难道不是外婆和两个孩子抢吗 ​​​
#立春#2025乙巳 ​​​
哈哈，难得春城飞雪，无图，懒得起身拍雪景，裹成一个棉球屋里玩手机，窗外雪细细的飘碎碎的下，清冷如斯，忽如一夜春风来，千树万树梨花开，散入珠帘湿罗幕，狐裘不暖锦衾薄！ ​​​
丑月姗姗而来，甲辰尾月 ​​​
#2025摩羯座富得流油#🙏 ​​​
#云南冬天岁月静好全靠贵州老表#谢谢，一季暖冬，日日晴好 ​​​
#冬至开启一年中最冷时段#1221→摩羯←0119冬至时刻，开始数九，摩羯月始五九数完甲辰尽 ​​​
#周海媚去世一周年# ​​​
#琼瑶今日花葬#少女酱是琼瑶的书粉，书比剧芬芳得多，文笔是琼瑶，演技是二创……80后的青春，琼瑶和金庸，言情和武侠，两支笔一个时代落幕！花葬福酱：皈依三宝后第一课学&lt;生死&gt;，不杀，无论是杀他她它，还是自杀。自杀不入轮回，困在自杀时空，每七天重复自杀过程，直到～生前杀盗 ​​​ ...展开
#付费就能观看万部酒店偷拍视频#《地藏菩萨本愿经》：“……南阎浮提众生，举止动念，无不是业，无不是罪，何况恣情杀害、窃盗、邪淫、妄语，百千罪状？……” ​​​
200801←摩羯座冥王星→20241120再见！再也不见！ ​​​
秋到浓极便是冬，2024的立冬比以往来的寒冷许多，雨纷纷春城草木深，来年之计在今冬！ ​​​
铠兰，迷你脆弱美丽，生物的多样性
#闺蜜妈妈不喜欢我的原因#从小成长在一个熟人圈子，和闺蜜初中同班，一直往来到她婚后。某天，她妈妈抱着她的宝宝，去和街坊邻居闲话，至今为止不知道妈妈们聊了些什么，从此她和我玩儿就要瞒着娘家，我哭笑不得:“偷偷摸摸的，不知道的还以为咱俩要去干啥呢，要不找别人陪你逛街吃饭……” ​​​
#发条微博祝自己六一快乐#想不通自己小时候，为什么深恶痛绝去幼儿园，幼儿园多好啊，园里有一日三餐，睡起午觉吃水果，小朋友在一起玩，和谁玩都不会有绯闻，男孩玩车车，女孩玩过家家，累了就坐着发呆，想哭就哭……现在：来不及吃早餐，做饭累人还难吃，洗碗麻了个烦，外卖又贵又难吃，包包里藏着 ​​​ ...展开
#朋友莫名其妙的优越感#有件往事，几年以前，一个朋友，日常偶尔微信联系，突然微我:“你要请我吃饭！”，不就是一顿饭吗，她住城北，我住城西，也不是不可以，很久没见了，我请！仅就去哪里和吃什么，我就好言商量了三天，她是各种傲娇不满意，更让我迷惑的是她声称工作很忙不清楚何时有空，甚至有 ​​​ ...展开
#妈妈怎么写最刀##世界上没有人会比妈妈更疼你#清明那天多云，傍晚后一行清雨，虽然时空有别，那些爱的记忆，沉淀在春的土壤里，滋润着儿女，南无大孝地藏王菩萨🙏🙏🙏 ​​​
半山听雨，青梅落了一地，山河远阔，人间烟火，无一是你，无一不是你…… ​​​
#大S裙子#参加葬礼别穿透视裙，严肃端庄为上，其它场合随便 ​​​
#一条plog告别二月#没有plog，2024二月份把开春的时间仪式做到极致0204立春年令(甲辰始)→0210农历春节(中国年)→0224上元灯节(元宵节)→0229闰年闰日 ​​​
#今天是四年一遇的日子#浪漫的公转故事：地球绕太阳一圈，为时365个昼夜还多一点，集齐四个多一点，约等于一个昼夜，无视这“多一日”，阳历只会越来越不准，于是，“多一日”被人类加给了清瘦的春二月。0229～地球给太阳的偷偷藏不住 ​​​
#立春#2024[拜年]甲辰 ​​​
#其实没人想听别人的故事#所以微了个博，唠自己的叨叨，既不打扰红尘，又新鲜了是非 ​​​
#2024摩羯座发家之年#🙏人间烟火，无一不发，千家万户座座发，福禄寿喜财🙏 ​​​
清沉若玉
