孤影之思在夜的幽潭里我是那沉默的石子月光织起冷的网将我囚于无形的牢房城市在霓虹里癫狂笑声似利刃划过长巷我躲在梦的边角听灵魂在黑暗中低唱风，轻吻着窗棂像幽灵诉说着离殇星辰在遥远的地方流浪而我，在这孤独里彷徨酒杯中晃动着过往苦涩填满了心房我与影子干杯把孤独饮成了信 ​​​ ...展开
夜的叹息在夜的幽巷徘徊月光碎成寂寞的残骸风，似冰冷的手抚过我荒芜的等待那扇紧闭的窗锁住了往昔的暖光记忆如褪色的画在黑暗中悄然泛黄我在时光的漩涡中下沉思念是缠绕的藤每一次挣扎都扯出更深的疼雨，敲打着心的屋顶滴答，是离别的泪声梦，在黎明前破碎而我，仍守着那片虚空  ​​​ ...展开
又作妖，世界怎么了$纳斯达克指数期货CFD NQ$ 新浪财经App社区 ​​​
我看多 VIX恐慌指数期货(VX)[我看多]打爆做空巨头$VIX恐慌指数期货CFD VX$ 新浪财经App社区 ​​​
今晚直接干废做空巨头$VIX恐慌指数期货CFD VX$ 新浪财经App社区 ​​​
干啥今天期货又作妖$VIX恐慌指数期货CFD VX$ 新浪财经App社区 ​​​
我看多 纳斯达克指数期货(NQ)[我看多]今天晚上开始回血$纳斯达克指数期货CFD NQ$ 新浪财经App社区 ​​​
我看多 纳斯达克指数期货(NQ)[我看多]期望又开始了，跌下去的马上回本了$纳斯达克指数期货CFD NQ$ 新浪财经App社区 ​​​
我看多 道琼斯指数期货(YM)[我看多]老衲等不及了，必须挺起来，所有爱纳的希望$道琼斯指数期货CFD YM$ 新浪财经App社区 ​​​
我看多 纳斯达克指数期货(NQ)[我看多]期待$纳斯达克指数期货CFD NQ$ 新浪财经App社区 ​​​
今晚老衲不虚，必须硬起来$纳斯达克指数期货CFD NQ$ 新浪财经App社区 ​​​
我看多 VIX恐慌指数期货(VX)[我看多]今晚最多跌一个点$VIX恐慌指数期货CFD VX$ 新浪财经App社区 ​​​
低开低走$纳斯达克指数期货CFD NQ$ 新浪财经App社区 ​​​
我看多 VIX恐慌指数期货(VX)[我看多]反复探底，老衲不怕$VIX恐慌指数期货CFD VX$ 新浪财经App社区 ​​​
我看多 纳斯达克指数期货(NQ)[我看多]老衲真牛逼，又开始狂飙，加仓的又发了$纳斯达克指数期货CFD NQ$ 新浪财经App社区 ​​​
我看多 纳斯达克指数期货(NQ)[我看多]老衲掐指一算，要翻天$纳斯达克指数期货CFD NQ$ 新浪财经App社区 ​​​
我看多 纳斯达克指数期货(NQ)[我看多]开始反弹了$纳斯达克指数期货CFD NQ$ 新浪财经App社区 ​​​
老衲掐指一算今晚要反弹$纳斯达克指数期货CFD NQ$ 新浪财经App社区 ​​​
我看多 VIX恐慌指数期货(VX)[我看多]老衲掐指一算，今晚反弹$VIX恐慌指数期货CFD VX$ 新浪财经App社区 ​​​
