这是我的女神。
//@上海校园:#暑假去吉林的N种玩法# #在吉林把书包换成行囊# 吉林的夏天是藏在风里的诗意呀～两日研学路线老灵，城市历史藏在博物馆里，清爽气儿裹着文化味儿～暂别魔都的喧嚣热浪，去吉林寻份清凉与新知，这般夏日体验，值得纳入行程呀～（via.@快门S ）@文旅吉林 @悠游吉林
//@青岛校园:快来看，吉林市满汉民俗游太可了！白天探陨石博物馆、品京剧韵味，百年东市逛出烟火气～​锅包肉酸甜够味，雪衣豆沙fufu，河南街夜市小吃吃到撑，夜游松花江看流光溢彩！有必要去一趟吉林了~ （via.@旅行笔迹 ）#玩儿转吉林的关东风物志# #暑假去吉林的N种玩法# @悠游吉林 @文旅吉林
//@济南校园:学霸避暑方案！长春博物馆奇妙夜，边纳凉边涨知识！（via.@尼玛次仁V ） #暑假去吉林的N种玩法##东北人私藏的22℃夏天地图#@悠游吉林 @文旅吉林
//@武汉校园:#暑假去吉林的N种玩法# 来武汉的同学们，吉林这趟穿越千年的旅程，藏着太多意想不到的惊喜！北国江城的每一步，都像拆开盲盒，新鲜又带感。暑假来这儿解锁宝藏景点，准能被这份独特治愈～（via.@旅行美食君 ）#又是被吉林治愈的一天# @文旅吉林 @悠游吉林
//@厦门校园:厦门的同学们，吉林这波避暑游太香了！夏天超舒爽，朱雀山森林里藏着清凉，北山滑雪场盛夏还能玩雪～农家菜够地道，新兴园饺子配京剧超有feel，河南街夜市吃到扶墙出！老吉林的故事都在这，值得冲～#暑假去吉林的N种玩法## 在吉林把书包换成行囊# @文旅吉林 @悠游吉林 （via.@快门S )
//@微博菁英校园:#暑假去吉林的N种玩法# 吉林一日，是自然与人文的和鸣。朱雀山绿意呼吸，陨石馆藏着星尘往事；新兴园饺子裹着烟火，戏台水袖绽成花。夜幕下，江风携月，灯影入波，教堂尖顶凝着温柔，这城的浪漫，浸满时光。（via.@阿鑫 ）#吉林文化宝藏大起底# @文旅吉林 @悠游吉林
//@微博学堂:#暑假去吉林的N种玩法#吉林是本立体教科书。北山藏冰雪奥秘，满博列时光密码，机器局奏工业艺术和弦。饺子就历史，烟火裹学问，江风载灯火，治愈可触。（via.@旅行美食君 ）#又是被吉林治愈的一天# @文旅吉林 @悠游吉林
//@出圈吧大学生:大学生们，长春一日民俗游安排上！长影旧址追电影往事，54 路复古电车拍氛围感大片～​历史博物馆免费涨知识，新民大街藏着小众咖啡馆，晚上二人转笑到停不下来。这趟文化之旅，值回票价～#（via.@小满 ） #暑假去吉林的N种玩法##玩儿转吉林的关东风物志# @悠游吉林 @文旅吉林
//@微博年轻态:大学生特种兵看这里！暑假冲吉林就对了！夏天爽到飞起～净月潭的绿影超治愈，54 路列车晃出复古感，伪满皇宫藏着历史冷知识～白天逛历史景区拍大片，傍晚享悠闲时光，这趟清凉之旅，值得加入夏日清单！#总有一个夏天要留给吉林 ##暑假第一站去吉林倒温差##暑假去吉林的N种玩法#（via. ...展开
//@上海校园:#暑假去吉林的N种玩法# #在吉林把书包换成行囊# 吉林的夏天是藏在风里的诗意呀～两日研学路线老灵，城市历史藏在博物馆里，清爽气儿裹着文化味儿～暂别魔都的喧嚣热浪，去吉林寻份清凉与新知，这般夏日体验，值得纳入行程呀～（via.@快门S ）@文旅吉林 @悠游吉林
//@青岛校园:快来看，吉林市满汉民俗游太可了！白天探陨石博物馆、品京剧韵味，百年东市逛出烟火气～​锅包肉酸甜够味，雪衣豆沙fufu，河南街夜市小吃吃到撑，夜游松花江看流光溢彩！有必要去一趟吉林了~ （via.@旅行笔迹 ）#玩儿转吉林的关东风物志# #暑假去吉林的N种玩法# @悠游吉林 @文旅吉林
//@济南校园:学霸避暑方案！长春博物馆奇妙夜，边纳凉边涨知识！（via.@尼玛次仁V ） #暑假去吉林的N种玩法##东北人私藏的22℃夏天地图#@悠游吉林 @文旅吉林
//@武汉校园:#暑假去吉林的N种玩法# 来武汉的同学们，吉林这趟穿越千年的旅程，藏着太多意想不到的惊喜！北国江城的每一步，都像拆开盲盒，新鲜又带感。暑假来这儿解锁宝藏景点，准能被这份独特治愈～（via.@旅行美食君 ）#又是被吉林治愈的一天# @文旅吉林 @悠游吉林
//@厦门校园:厦门的同学们，吉林这波避暑游太香了！夏天超舒爽，朱雀山森林里藏着清凉，北山滑雪场盛夏还能玩雪～农家菜够地道，新兴园饺子配京剧超有feel，河南街夜市吃到扶墙出！老吉林的故事都在这，值得冲～#暑假去吉林的N种玩法## 在吉林把书包换成行囊# @文旅吉林 @悠游吉林 （via.@快门S )
//@郑州校园:#暑假去吉林的N种玩法# 吉林消夏正当时。清风里，机器局藏近代风云，官参局蕴千年参事，建制馆述城事变迁。-6℃雪场藏冬趣，陨石馆纳宇宙浩渺，京剧馆流雅韵。吉林的舒爽，是清风与墨香的交织。（via.@笔下花花 ）@文旅吉林 @悠游吉林
//@成都校园:川渝学子避暑指南！吉林的夏天太巴适～净月潭林海吸氧，长白山瑶池像翡翠，二道白河的美人松超出片！美食更上头！牛肉冷面配锅包肉，打糕糯叽叽，糯米鸡香喷喷，一口下去暑气全消～（via.@小马途游 ） #暑假去吉林的N种玩法# #暑假第一站去吉林倒温差#  @悠游吉林 @文旅吉林
//@天津校园:#暑假去吉林的N种玩法#吉林这夏天可太舒坦了！朱雀山的绿得晃眼，锅包肉酸甜口儿，老鼻子实在了～陨石馆里看&quot;吉林一号&quot;，机器局老墙摸着就有故事，新兴园饺子就着戏文吃～这地儿，值当去！（via.@阿鑫 ）#吉林文化宝藏大起底#@文旅吉林 @悠游吉林
//@南昌校园:学生必打卡！长春文庙拜孔子+手工体验，避开人潮汹涌的“标配”景点，研学旅行两不误！（via.@橙子在旅行travel ）#在吉林把书包换成行囊# #暑假去吉林的N种玩法# @悠游吉林 @文旅吉林
//@西安校园:#暑假去吉林的N种玩法#吉林之夏，博物馆藏着别样清凉。机器局老械语往事，官参局草木凝药香，建制馆铺展吉林故事。京剧馆戏服流光华，避了烈日，与历史清凉相遇，暑假甚好。（via.@笔下花花 ）#玩儿转吉林的关东风物志#  @文旅吉林 @悠游吉林
//@重庆校园:#暑假去吉林的N种玩法#吉林博物馆藏着时光惊喜。老建筑沉默伫立，旧物件静静陈列，每一件都在讲动人故事。与文物对话，穿越时空织就文化网，吉林就是这般趣致。（via.@阿蒙Amon ）@文旅吉林 @悠游吉林 
//@贵阳校园:长春亲子研学太酷啦！长影旧址触摸电影传奇，54 路复古电车晃出慢时光～西游夜闯动物园超奇幻，净月潭竹筏夜游揽星空，边玩边学的假期，必须安排！（via.@橙子在旅行travel ） #暑假去吉林的N种玩法# #在吉林把书包换成行囊#@悠游吉林 @文旅吉林
#暑假去吉林的N种玩法#
#暑假去吉林的N种玩法#
#暑假去吉林的N种玩法#
#暑假去吉林的N种玩法#
#暑假去吉林的N种玩法#
#暑假去吉林的N种玩法#
#暑假去吉林的n种玩法#
期待罗景文#罗景文闪光的夏天#
//@啊涂冰:可可宝加油冲啊！！ 超期待今晚@可可张可盈 的舞台（ps：这个音综也是真的好看！美好的女孩们的美好舞台❤️）
//@啊涂冰:可可宝加油冲啊！！ 超期待今晚@可可张可盈 的舞台（ps：这个音综也是真的好看！美好的女孩们的美好舞台❤️）
//@喵喵的小羊羊:这个格子连衣裙也太好看了吧。
宝宝哥，加油！
//@德卡先生的信箱:月经贫困困住的不只是身体，还有对世界的信任。5月28日，和淘宝一起，用#宝贝经验告诉她#每个女孩都应该光明正大地长大！上淘宝搜【学生礼】，为山区女孩捐包卫生巾，让知识不再会被经血打断#淘宝学生礼#
#马小宇狼狗式告白好苏# 好想找一个这样的男朋友。
#马小宇破碎感狼狗人设好带感# 已经被这样的剧情深深吸引了。
#马小宇破碎感狼狗人设好带感# 这样的画面真的是不敢看呐。
#西湖边的流浪猫吃得比我还好#小猫的生活也是我非常渴望的。
#西湖边的流浪猫吃得比我还好#怎么看都看不够呢？
#西湖边的流浪猫吃得比我还好#我也想被人圈养呢。
#西湖边的流浪猫吃得比我还好#被这样子萌到了
#西湖边的流浪猫吃得比我还好#西湖的人们真的是好有爱心呐！
#西湖边的流浪猫吃得比我还好#可不可以去抱我家一
#西湖边的流浪猫吃得比我还好#真想领养一只回家。
#西湖边的流浪猫吃得比我还好#这么多关爱人士，真的是好喜欢。
//@一起打麻将1:主流币往上看，往上看，低位博北上，没啥说的。基本面也是利多，技术面也是利多，虽说不绝对但是概率别南下概率大。就这样
#沙漠里到底藏着多少野生动物#吃麻鸭真的是太可爱了。
#沙漠里到底藏着多少野生动物#在这样的环境中他们还可以生存，真的是太牛了。
#藏马熊长相好似大熊猫# 这个熊的胆子还是非常的大的呢。
#藏马熊长相好似大熊猫# 他是迷路了吗？
#藏马熊长相好似大熊猫# 是不是和熊猫繁殖成这个样子的？
#藏马熊长相好似大熊猫# 这玩意儿能吃人吗？
#藏马熊长相好似大熊猫# 他是靠啥养活自己的？
#阿尔金山无人区科考发现沙漠熊猫# 她是靠什么生活呢？
#阿尔金山无人区科考发现沙漠熊猫# 既然稀少，为什么还是2级保护动物呢？
#阿尔金山无人区科考发现沙漠熊猫# 藏马熊会像人一样直立招手，你一个人走进后干掉吧。
#张名扬是从武术世家冲出来的下山虎#
#张名扬是从武术世家冲出来的下山虎#
#张名扬为了比赛多拼# 真的太心酸了。
#张名扬为了比赛多拼# 无论结果怎么样都会支持你。
#张名扬为了比赛多拼# 看着都替她心疼。
#张名扬为了比赛多拼# 不减重不行吗？
#张名扬为了比赛多拼# 真的好不容易拿
#各地文旅终究落在了00后手里#湖南文旅，我想逃离湖南。
#00后有自己的专属社交暗号# 只有995知道是什么意思？
#00后有自己的专属社交暗号# 这样的暗号真的是既简单又方便。
#00后有自己的专属社交暗号# Emo是非常抑郁的情绪表达。
#00后有自己的专属社交暗号# 原来他们也有自己的暗号了。
这样的接头方式我真的搞不懂。#00后接头方式太野了吧#
这真是让人琢磨不透。#00后接头方式太野了吧#
90后的我们根本都接不上。#00后接头方式太野了吧#
00后简直是快乐的源泉。#00后接头方式太野了吧#
00后的精神力很旺啊。#00后接头方式太野了吧#
一定要躲到最后哟。//@罗景文_:🈺上新啦！ “墙裂”推荐！！这波躲藏值得反复观看！小小猎人你来找“BUG”呀 ～🫣 每周四中午12点，来腾讯视频看 （第十期圆圆满满，开来心心，心想事成，诚心诚意，意满离）#开始捉迷藏##罗景文开始捉迷藏# 罗景文超话
#原来杨千幻是女扮男装#
#原来杨千幻是女扮男装#
//@孙琳_Linsun:晚上6点看宋冉的美美的爱情👩‍❤️‍👨#白色橄榄树开播#@梁洁Little
#刘晓庆说其他人都没有李小冉全面# 我庆奶真是夸夸小能手
#刘晓庆说其他人都没有李小冉全面# 我庆奶真是夸夸小能手
#刘晓庆说其他人都没有李小冉全面# 刘晓庆真的好会夸！
#刘晓庆说其他人都没有李小冉全面# 刘晓庆真的很会说话呀
#刘晓庆说其他人都没有李小冉全面# 刘晓庆真的好会夸！
#国色芳华收视率# 你俩快点谈恋爱啊
#国色芳华收视率# 不愧是大制作大剧
#国色芳华收视率# 追剧停不下来！
