任何一个正常人在医院里待着 都会浑身难受 ​​​
越来越爱跟人聊天了 逐渐e了 但是不喜欢和傲娇的有心眼的 人格底色不好的 嫉妒攀比的人相处 （随便聊两句就能感知到对方大概是什么样的） ​​​
世界上有没有一种死法是困死的 ​​​
想念我的干巴面包了 休息4天也没吃到  ​​​
耳朵发炎 去挤脓包 疼死 出来奖励自己一块腻腻的蛋糕美丽需要些代价 ​​​
做饭在无数次失败后 突然打通任督二脉 ​​​
霸王茶姬害人不浅 ​​​
遇到大堵车 我给司机师傅放了舒缓的音乐 希望他少一些唉声叹气 ​​​
秋天来了 冷冷的 多少有点emo ​​​
生活看似没有咋变过 却在一直变着 这一年 我被捧到天上 也掉落谷底 有些事我从来没想到会到我头上 我也没想过自己会做出那样的事 日子日复一日的过着  在不停的寻找 试错 尝试 感受中找到自我 （真的很难的） 也许这一辈子都在找自己吧 这段时间疲惫了 话说我啥时候不疲惫呢 生活真是恶心 ​​​
夏天绝不入京 最好不出门 受不了  ​​​
最爱的酸奶都塌方了 还有什么是接受不了的 ​​​
收到赵贱吨送的花花 捏还把花藏在卧室🤓 ​​​
勇敢的人先打耳洞[金牌] ​​​
私立的体检就是好啊 做妇科没有绷脸 没有态度不好 笑嘻嘻的 还说我是黑美女吧 呵呵 ​​​
被夺命连环扣  ​​​
真的有人喝奶茶要多糖热的啊 ​​​
分享图片 ​​​
来这7年了 也无法喜欢上这里 小地方真的看不上就是看不上 说话办事啥的 都让人厌烦 ​​​
差点着火 干烧了不知道多久  做饭对我来说屡挫屡败 ​​​
和贱哥来吃饭 餐厅突然停电了 大家都在啊～这咋吃一系列反应 慌张中 全场只有我和一个小男孩 表现的好开心 我说可以黑吃喽～ 现在特别能提供情绪价值 哦耶✌️ ​​​
渐渐体会到了何为自由。那或许就是，做一切选择，过何种生活，只有想不想，没有能不能。 ～衩姐 ​​​
谁懂半夜这一口的含金量 ​​​
测了下是回避性依赖人格无疑了 ​​​
一首歌唱3遍 ​​​
老师讲乐理知识给我的感觉跟上数学课一毛一样  ​​​
嗓子像吞刀片 ​​​
别说记不住朋友生日 记不住家属生日 自己连自己生日都不太记得 从内心觉得生日不那么重要 过不过都行 ​​​
 ​​​
Some viewing and reading1⃣️ 《天才瑞普利》2⃣️《被解救的姜戈》3⃣️《醉乡民谣》 ​​​
千万别把救赎自己这件事交给别人 ​​​
分享图片 ​​​
从前种种譬如昨日死 从后种种譬如今日生 ​​​
弹琴和写字时长 看出来更爱哪个 ​​​
最近爱上了麦麦的麦旋风 连吃两天 里面的脆脆很绝 试试 ～ ​​​
今天的一天过的很满足 ​​​
林允是美的 ​​​
坐在外面吃宵夜很快乐 凌晨3点多醒来不快乐  肝脏难受尿酸升高 体验到了极致的快乐和极致的难受 哭 最后一张喝高兴的赵贱吨去给我找流浪狗去了 手里的肠就是买给狗子们的 ​​​
自以为是的男人让人无比恶心  ​​​
突如其来的荷包蛋教程 ​​​
赵贱吨把雪糕放在水里 跟谁融为一体 说是水果味道的水 我受不了 好恶心 他不理解为啥恶心 我也不理解他 ​​​
 ​​​
人有千面 比如我现在躺单位床上想到家里冰箱有一块拿破仑蛋糕  就一整个期待住了 ​​​
连着点了2天了 好喝好吃 明天还会点 ​​​
我今天大概吃下了一头牛 爽 ​​​
Some viewing and reading1⃣️《人间失格》2⃣️电影 唐顿庄园13⃣️电影 宇宙探索编辑部蛮好蛮好 ​​​
美丽的长美甲从此离我远去 再见 ​​​
 ​​​
一个月看完了 活在当下 重中之重 ​​​
感觉穿越无人区 让人难忘 樊樊子宁的微博视频 ​​​
太美了吧 姐姐
建议不错 下次别建议了啊 ​​​
6天都没有看完一部电影 也很好 ​​​
金渔的歌了不得 循环播放 ​​​
很神奇的表情 我喜欢 ​​​
每次感冒都想吃新疆炒米粉 呵呵。 ​​​
Some viewing and reading1⃣️电影《窃听风暴》结局真的哭了2⃣️电影《十二夜》爱情就那样3⃣️帆书《张爱玲传》《山海经》《孔子传》连张爱玲这样的人也会受爱情折磨山海经里的怪兽原来是人传人传出了可怕的东西孔子太伟大了 他的妈妈18岁 爸爸66岁 这个没想到4⃣️读书《当下的力量》这 ​​​ ...展开
 ​​​
好想吃淀粉肠 ​​​
Some day ​​​
Eating these days ​​​
离开惯性模式 一切同样会顺利！试试 ​​​
养一只宠物就是埋下一颗伤心的种子 我从最开始就知道 我一直逃避 一直觉得千年的乌龟万年的八 不可能轻易死去 可现在那颗种子还是发芽了。再见拉斐尔 ​​​
孔子都能出国 梁鑫泊为啥不能 ​​​
狗儿子 ​​​
Some day每次看完电影会搜影评 以后忘了情节可以回头看看1⃣️电影《枕边的男人》2⃣️电影《告别有情天》喜欢外国电影就是看着没那么累 结局大概都是不完美的 贴近生活3⃣️一本书《当下的力量》应该不出意外会看很久  很难懂 生活就是凑合 ​​​
Some day ​​​
分享视频 樊樊子宁的微博视频 ​​​
谁家好人一次性喝这么多酒 ​​​
