受受伤 也不见得是一件坏事 ​​​
在以前那是男女分工 现在女的也工作了 男的进厨房也不是什么光宗耀祖的事情  双方都为家里提供经济价值 家里的劳动也应该是双方承担吧 （当然我看有的家庭分工 还是男主在 女主内 我觉得这也不是什么坏事 每个人家庭的分工而已 大可不必因为女的做了家务而给她扣上不解放不独立女性的帽子。） 看到这种 ...展开
呃。男的做饭顾家是什么很荣耀的事情吗 这是每个正常人都应该具备的品质吧 和性别有什么关系 要么就是每一个这样的人都值得被夸 。天 嫁人不嫁正常人难不成嫁傻逼 你老公那点事也是他应该做的 ​​​
啊 我好讨厌味道很重的食物 ​​​
天 真的
摆脱
我竟然为自己感到开心 我开始有各种各样的情绪了 我大概是从高中开始 学会了忽视自己的后收麻痹自己会过的比较顺心 几乎低敏情绪稳定的可怕 后来发现是自己心里生病了 ​​​
现在我真的会对每一份纯粹的感情流泪 ​​​
ok以后没能力让孩子上私立学校就不要小孩 ​​​
我这照片照的 加上这个厕所的门 别人都知道我要干啥了。 ​​​
加油
达哥 完全给了我人生的另一个角度 好厉害 谢谢你这样用自己方式活着的人的存在 让我不再那么害怕想象以前完全不敢想的未来 不破不立也许就是这样 跳出舒适圈 打破以前的交际圈 站在另一个新的角度 用新的一批人的眼睛去看待这个世界 发现这个世界上的另一种可能 不断的这样螺旋式上升 事务的发展是曲折 ​​​ ...展开
甚至这表是我为了高考买的哈哈哈
带了一个没有电池的表哈哈哈哈 ​​​
分享图片 ​​​
今天下雨了。发现没有能抗雨的鞋。嗯 这是我断舍离的后果 打开得物怎么还是那些鞋 都要买三个轮回了。 ​​​
//@鱼头薯条大户:1️⃣【免征增值税】‼️‼️旧书旧物 科研援助 文化宗教 育养婚丧 农(自产自销)残医学(学历教育/学生勤工助学) 2️⃣【免征消费税】『出口』免征消费税 国务院另有规定的除外 3️⃣【免征车船税】“军/警/消/外/渔”农用摩托车不在车船税范围之内 对于农用车可以决定减免征税
违约金高于百分之三十就是过分 ​​​
天呐 哈哈哈哈好喜欢现在饮料的抽奖设计 什么开盖有奖之类的 有买彩票的快乐 没奖还有饮料喝 ​​​
喜欢穿基础款 已经转型成功了 但是 现在的问题是不要重复的购买同一个款式了。 基础款也有很多设计 同款的两件三件就够了 小雅子 ​​​
出现问题-内耗（责备自己）-解决问题出现问题-解决问题无论如何 这么多年的在世经历已经说明了内耗和责备自己不能解决问题 所以请你直接跳过内耗直接解决问题小雅子 你要相信你自己完全有能力解决 只是一些问题需要好几天 一些问题只需要一两分钟 不要逃避 逃避一会无非让问题更复杂或者错过好时机 ​​​
钱。
一支AirPod 掉厕所了……很好呀 已经是第三个了 两年内买三个 少很多的话你就继续这样…… ​​​
这几天要把民法和刑法也加进来 ​​​
啊啊啊啊啊乐高宝宝们 等妈妈考完试就拼你们 ​​​
老师真的很爱撕书 ​​​
分享图片 ​​​
考完我要降低体脂率。 ​​​
我天啊啊啊啊啊为什么。 ​​​
我之前是真的不会节制饮食 因为我觉得自己挺瘦的 ……没有对比没有伤害 啊啊啊啊啊和现在比起来 真的丑的要死。我服了。小姐姐 能不能。能不能对自己有一个客观的认识 ​​​
就两个月前。
卧槽 我以前真胖 那时候我还觉得自己挺瘦的……天。我真的服了 ​​​
哈哈哈哈哈其实法考老师真的都特别有意思 喜欢这些老师
今天进货了 ​​​
我服了。好讨厌小题大做的任何一个傻逼。营销号你真的烦死了 别发了 ​​​
天呐 那我很勇敢了
在十八中跑的我快死了老师也不让我停下。傻逼老师一辈子我也不会原谅你的。//@is_Ayaa:服了。谢谢为什么我连自己跑不跑八百米的选择权都没有。
服了。谢谢为什么我连自己跑不跑八百米的选择权都没有。
平常心的 做好每天要做的 就好
我会加油的！每天多撑一会！一定可以的！ ​​​
啊啊啊啊啊啊我错了法考之神我错了我错了我错了 拜托拜托拜托
拜托拜托拜托拜托拜托 我可以婚姻不幸福 可以一个人孤苦伶仃 但是我法考必须过啊啊啊啊拜托拜托拜托我会更加努力的
分享图片 ​​​
说实话 每天吃麦当劳巨无霸双层牛肉芝士汉堡的生活是我的日常 ​​​
设撤并内部上级批，同级人大备。单纯改名字不需要备案 先存着
每次都要苦苦等待第三天。 ​​​
明天三国法国际贸易术语 公司法商法记忆 行政法快速看书 理论法错题 ​​​
不放弃百分之一的可能 争取 ​​​
我的睡眠 ​​​
每天都是点好第二天的咖啡 督促自己起床 迟到冰美式就会变成热美式 ​​​
我真的要笑死了//@评论罗伯特:今天也是差点没把自己加进油箱的一天呢~
//@法学生江户川:证明对象，每年必考，背会了吗？
诶。挫伤 ​​​
好了 现在删v好友。再➕理发师 化妆师 的微信试试。 ​​​
以后的每一件事 我都要用心 用最必要 最喜欢原则 小到关注的好友 都要是我严选的 我要为自己制造好磁场 比如一些同学的传达 照片 风格 我根本欣赏不来 碍于同学一场不好意思取关 正在取关移️除中！ 从这些小事开始 ​​​
求求自己了 好好睡觉吧
这么可爱 ​​​
终于完成了上课 ​​​
我要是每天都吃三顿饭我就会焦虑 而且重口味我吃不了一点现在 ​​​
昨晚睡的早 耶 加油 以后每天都早睡 早起最后三十天
今天必须提高效率 啊啊啊啊啊啊啊啊啊 ​​​
我真的为什么每晚睡不着……这样真的不行啊啊啊啊啊啊我发誓昨晚是最后一次这样 不可以这样啊不要掉链子 ​​​
嗯。没救了 ​​​
今天起 每天打卡一个刑诉背诵 最后三十天 加油！ ​​​
分享图片 ​​​
头发什么时候长长长啊 ​​​
