情绪反扑的时候，请允许自己，枯萎几天，然后再继续生活 #焦虑症# ​​​
又是治愈的一天 ​​​
“后来我才明白，悲伤能让人成长。” ​ ​​​
忽然之间仿佛看淡一切，人生也就那么回事！因为谁也不是你的救赎，愿余生在淡然中依然能找到属于自己的那份爱——那就是爱自己 ​​​
焦虑来，不要怕，不会疯，不会挂，他是他，我是我，不听话，顺着他，不管他，就好了#焦虑症# ​​​
总有一天你会明白：答非所问就是回答，敬而远之就是不喜欢，沉默不语就是拒绝。 ​​​  一盏逍遥渡春秋的微博视频 ​​​
“ 若无烦事挂心头，便是人间好时节 ...” ​​​
万事尽心尽力就好，有则锦上添花，无则顺其自然。 ​​​#焦虑症# ​​​
#大强说焦虑# 既然买了专辑就要坚持听 ​​​
#2024道个别#2024最后一天打卡3公里，2025继续[锦鲤附体] ​​​
日常早餐，又是美好的一天 ​​​
1症状来临冷笑出声并嘲笑它2不聊症状3难以忍受的时候告诉自己活着就是来受罪的，人人都一样，没有人能幸免4让自己忙起来，保持有事可做，是脱敏的重要环节5去做你想做的任何事，你是正常人6帮助病友，赠人玫瑰，手留余香 ​​​
给自己一点时间，将会越来越好 ​​​
以后能坐火车绝不坐客车  ​​​
焦虑不是病，它是提醒你善待自己  ​​​
久违的绿皮火车，啤酒白酒矿泉水，香烟瓜子火腿肠，把腿收收，各位让一下；如今再也见不到那人挤人的场景了 ​​​
“ 没有如愿的生活，只有不断想开的自己。” ​​​
又是难受，不舒服，焦虑的一天，什么时候才是个头啊 ​​​
#一条plog告别十月#坚持、坚持、再坚持，打卡夜跑三公里，第四天 ​​​
但行好事，莫问前程！ ​​​
看红叶，喝羊汤，又是治愈的一天  ​​​
白天是西安，晚上变长安。  ​​​
#展会# 迷迷糊糊的一天 ​​​
肉夹馍我又来了走来走去还是家乡好  ​​​
三年搬了四次，终于不在折腾了 ​​​
秋天应该去看海，让海浪把所有的烦恼都带走。  ​​​
对自己好点，一辈子不长，对身边的人好点，下辈子你们不一定能够遇见。 ​​​
命运要你成长的时候，总会安排一些让你，不顺心的人或事刺激你，这是规律 ​​​
#十字街##丽景门##寻梦洛邑古城# 我在古都洛阳🏮，得以遇见盛世大唐  ​​​
#洛阳明堂天堂##应天门# 哪里都不想去了，还是在家好  ​​​
#豫拍豫美##地标建筑# 打卡  ​​​
#七夕# 最近怎么老刷到石川佳纯石川佳纯超话 ​​​
#第一天# 人生就是一场漫长的修行，在这条路上，会有无数的艰难险阻。但是，只要你坚持下去，那么，你就一定会得到自己想要的一切。所以，不管遇到什么样的困难，都不要轻易地放弃。你要知道，坚持，才是成功的唯一捷径。 ​​​
人生是用来体验的，不是用来演绎完美的，我慢慢接受自己的迟钝和平庸，允许自己出错，允许自己偶尔断电，带着遗憾拼命绽放，这是与自己达成和解的唯一办法，希望大家都能放下焦虑，和不完美的自己和解，然后去拥抱那个完整的自己！ ​​​
分享图片 ​​​
半自动穿串机 ​​​
别改天 别下次 别以后 就这次！  ​​​
三年了，有谁知道这三年我是怎么过来的？没有人听我倾诉，没有人可以理解，也没人会感同身受……只有自己知道其中的辛酸，咬着牙默默的忍受其中的煎熬与痛苦！熬吧，希望往后的日子一帆风顺，心想事成 ​​​
小迪跟我回家 ​​​
夜上海  ​​​
#茅台冰激凌# 一个吃醉了  ​​​
反手绝杀#马龙# 一盏逍遥渡春秋的微博视频 ​​​
"三月茵，陈四月蒿,五月砍来当柴烧！ ​​​"
希望明天有个好的开始，加油！！！ ​​​
希望你早点康复！愿你在未来的日子里一帆风顺，健康快乐  ​​​
生活没那么多一帆风顺，只有迎风而上才是人生！一路走来跌跌撞撞才会成长，希望你吃一堑长一智 ​​​
恭祝大家新年快乐，诸事顺心  一盏逍遥渡春秋的微博视频 ​​​
滚蛋蛋 ​​​
#泡沫爱情# 生活也许欺骗了你，到你绝对不能欺骗生活 ​​​
