//@Ghost_9967:心也被折断了💔
我要笑岔气了哈哈哈哈哈甜菜
//@厨神青年浣:被陈晖洁哼了一下午😡//@Jucied:跟@厨神青年浣 一起做的监工陈桌宠（画得太快了哇），一个小动画+三个气泡+三段语音，欢迎体验 Link: 网页链接
我恨单休！我为什么要打工！根本去不了
我超女同
她真好看
“实力不一定要与野心相配，实力要像疯狗一样追赶野心”​因为机械性工作过于枯燥，就找了播客来听，随意点开的一集，她们在谈论的内容于我而言就像雪中送炭。​前几天跟朋友说，最近实在是过于内耗，甚至已经开始幻想一个成熟的伴侣来拯救自己。幻想的源头是因为不自信和迷茫带来的心力耗损和完全 ​​​ ...展开
终于！真的好喜欢她们
@MBTI小行家 根据我的微博 判断我的mbti ​​​
太过分了
“她像是在人群中看向了我”Ado赛高！Ado天下第一！（尖叫！蹦跳！扭曲爬行！）​啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！土狗第一次看演唱会呜呜呜呜Ado她真的太牛啦啊啊啊啊！又唱又跳又嘶吼两个小时是怎么做到的[流泪]唱的每一首我都很熟悉并且超级喜欢现场听她唱真的是不一样。她每一个转 ​​​ ...展开
Ado演唱会！只听个响版这个站位怕不是连她的笼子顶都看不到圈子好烫，没搞过这么烫的圈子，谷子是一点都吃不起啊  ​​​
//@君sola:师师的生日周边已经上啦，可随意选择，车专我这条，给3个姑娘每人送师师生日allin一份，另外再揪10个人平分471元
