#每日学习打卡# ​​​
#每日学习打卡# ​​​
#每日学习打卡#“西学原本就是高度复杂的，是一条曲曲弯弯、时急时缓的河流，可惜在强烈的对比下，很多人的头脑则相当简单，只不过随便到了它的哪个弯流处，舀起一碗水来浅尝一下，看看它在这个阶段有什么成分，而后就按照这个配方去自产自销，再不管西方本身还会起什么变化了。” ​​​
#每日学习打卡# ​​​
#每日学习打卡#好名声比财富更重要；所罗门拥有世界上的财富，但他祈求的是智慧，而不是财富。 ​​​
#每日学习打卡# ​​​
//@中考高考冲刺墙:谢谢你
刚刚在积分乐园兑换了3元现金红包，如此简单，用积分就能做到！不说了我去收现金啦！积分兑红包&gt;&gt;  ​​​
#每日学习打卡# ​​​
#每日学习打卡# ​​​
#每日学习打卡# ​​​
#每日学习打卡# ​​​
//@中考高考冲刺墙:码住
#每日学习打卡# ​​​
#每日学习打卡# ​​​
#每日学习打卡# ​​​
#每日学习打卡# ​​​
#每日学习打卡# ​​​
#每日学习打卡# ​​​
#每日学习打卡# ​​​
#每日学习打卡# ​​​
#每日学习打卡# ​​​
#每日一餐分享# ​​​
#每日学习打卡# ​​​
#每日一餐分享# ​​​
#每日一餐分享#七夕比萨 ​​​
#每日学习打卡# ​​​
#每天摸鱼打卡#雨 ​​​
#每日学习打卡#众所周知，每个时代都为了自己的目的而重写历史，政治观念史也不例外。 ​​​
#演唱会# ​​​
#每日学习打卡# ​​​
#每日学习打卡#时代的急流是不大照顾懒汉的。 ​​​
#电视剧# ​​​
#书摘#他也知道，占有是要付出代价的，而且是高昂的代价，即便付出代价，最后还是会丧失曾经的占有。 ​​​
#电影推荐# ​​​
#微博影像年#大雨 ​​​
#演唱会# ​​​
#电视剧# ​​​
#书摘#每个人都不可能完全达到自己的目的，也很难不妨碍别人的目的。 ​​​
#人间值得# ​​​
#治愈不开心# ​​​
#今日份开心#忍受就是对生命的服从 ​​​
#恋爱日记# ​​​
#微博影像年#大快人心 ​​​
#书摘#作者写文章时应该已经懂得，恶念也许是一种必须摆脱的执念，人的好坏也许需要更长的观察尺度和更包容丽理解尺度。 ​​​
#人间值得# ​​​
#一条plog告别7月# ​​​
#恋爱日记# ​​​
#微博影像年# ​​​
//@皓伦王明川:央视推荐的四部神级纪录片，唤醒孩子内驱力！
#旅游攻略# ​​​
#旅游# ​​​
#笑料江湖争霸赛# ​​​
#自律遇见更好的自己#跑步 ​​​
#减脂餐天花板# ​​​
#遇见心动时刻# ​​​
#电视剧推荐#《征服》 ​​​
#恋爱日记# ​​​
#生活手记# ​​​
#生活手记# ​​​
#生活手记# ​​​
#生活手记# ​​​
#生活手记# ​​​
#生活手记# ​​​
#生活手记#她无法超越自己肤浅的眼光和趣味去面对他人和世界，从而对现实做出明智的判断。 ​​​
#生活手记# ​​​
#生活手记#对懂得等待的人，一切都在恰当的时候来临。 ​​​
#生活手记#《巴山夜雨》 ​​​
#生活手记# ​​​
#生活手记#今天干了体力活，收拾了小院 ​​​
#生活手记# ​​​
#生活手记# ​​​
#生活手记# ​​​
#生活手记# ​​​
#生活手记# ​​​
#生活手记#这个世界里有属于你自己的天地万物，属于你自己的功名利禄，它是一个精神和物质并驾齐驱的光明世界。 ​​​
#生活手记# ​​​
#生活手记# ​​​
#每日学习打卡# ​​​
