#生活手记#把一件事做到极致 ​​​
科大讯飞 ​​​
#生活手记#是我驾驭不了，没有认真对待，养出这样的娃 ​​​
#生活手记#狗改不了吃屎 ​​​
#生活手记#逆向思维 ​​​
想跑步 ​​​
#生活手记#我把我份内的工作做好，改变微环境 ​​​
#生活手记#我们还是不是一家人了，你难道不需要做出改变吗？，你打算怎么改变？ ​​​
//@针灸匠张宝旬://@北京-QQ:我膝盖疼，贴了两次跌打丸，疼痛减轻了很多，感谢张大夫。//@针灸匠张宝旬://@粥粥的粥粥呀:感谢老师的小妙招。我妈腰腿疼，看了老师的微博，去买了中华跌打丸，只贴了一晚上疼痛减轻了一大半。//@针灸匠张宝旬://@天天晴呀:刚刷到这个方法，就徒手使劲搓这个位置，过了一 ...展开
你打算怎么改？ ​​​
#生活手记#强大自己是唯一的出路，不再相信任何人 ​​​。 ​​​
#生活手记#把格局打开，做最重要的事 ​​​
建立自己的王国 ​​​
成见是一座大山 ​​​
向左转 向右转 ​​​
#生活手记#孩子他爸阳气不足，是个悲观主义者 ​​​
#生活手记#遇到错的人，要学会及时止损。以后会一错再错，错上加错，因为认知不在一个层面上，气死你。 ​​​
#生活手记#春天也可以吃羊肉 ​​​
生姜当归羊肉汤 ​​​
今天清理了羊肉片好开心，很好吃，明天继续清理鸡肉做，今天在家 ​​​
#生活手记#脸不变色心不跳，好狠啊 ​​​
做啥不重要，做人最重要 ​​​
#生活手记#原来APP卸载再重装更省内存 ​​​
不要太猖狂了，太猖狂了，老天会收拾你 ​​​
今天开始把不穿的衣服放12号楼，终于有动作了，终于想明白了 ​​​
如果每一个人都能够做到父慈子孝、兄友弟恭、夫和妇顺。 ​​​
#生活手记#今天还行吧，好好修行 ​​​
时间窗口 ​​​
//@邹健论道:回复@微波锅盔:动点脑子就知道别人说的真假了，承认中国湾是对的，但是时间和人未必就是对的。它的目的现在就是对阉国打中国牌。二极管才是要么全信，要么不信。//@微波锅盔:还以为多早期呢
//@邹健论道:回复@幽谷里的回响99203:虽然你说的这么高大上，但是我相信你的本科肯定不是985//@幽谷里的回响99203:看电视第一次是看情节，深深入戏为剧中所表现的东西而打动；第二次就会琢磨人物心理，背景，为什么会是这样发展；第三次看导演演员服装各种设计，看镜头角度、色彩，揣摩 ...展开
此时情绪此时天，无事小神仙 ​​​
#生活手记#人生缓缓，自有答案 ​​​
#生活手记#第四圈隔二加一 ​​​
草果：暖胃 理气 丹参 太子参 陈皮 枸杞 ​​​
//@李子暘Lee:不搞工业化，祥林嫂和闰土也受苦，而且是毫无意义完全绝望地受苦。新中国大搞工业化，农民受苦，但那是先苦后甜地努力奋斗。//@胡斐大侠:我觉得还是首先比比谁的贡献大，再来说谁辛苦谁拿多了——“祖国建设这么多年，谁辛苦？谁不辛苦？谁奉献的多？谁又奉献的少？谁拿的多了？谁又拿的 ...展开
//@V闪闪:看了海外新闻，才知道这个时候去日本旅游很危险，但我国居然没有新闻预警，到底是日本新闻管制严（但日本报道了），还是我们很多媒体故意回避啊？一直没有广泛报道，好多中国人真不知道日本危险，还乌泱乌泱去日本旅游呢#日本流感病例已超950万人#
//@针灸匠张宝旬://@聆听7379630444:张老师新年快乐！反馈一下，暖宝宝贴八髎穴治好了四处寻医问药都没治好的妇科炎症
正能量吸引正能量，正面思考吸引正面思考 ​​​
#生活手记#开心 快乐 过大年  ​​​
老是关注自己的短处，比如花白的头发，而不是自己的长处，我还年轻 ​​​
#生活手记#好好爱自己，享受当下  ​​​
有志气 有能力 做自己，过一个人的春节 ​​​
