我知道
我说有些男的你长得不咋地的情况下能不能别发照片啊，再不济照片p一下再发也行啊。草，真的很幻灭真的很影响我的想象空间，算了，我也不想说什么太恶毒的话。 ​​​
我要为TA打call！ 我要为TA打call！岳凝 我的点评：#超会评开分# ​​​
我要为TA打call！ 我要为TA打call！燕迟 我的点评：#超会评开分# ​​​
我要为TA打call！ 我要为TA打call！秦莞 我的点评：#超会评开分# ​​​
世界上最厉害的本领就是，以愉悦的心情老去；在工作时，有能力选择休息；在想说话时，能选择沉默；在失望时，能重新燃起希望。夏目漱石 ​​​
你眼睛的面积一定小于湖 你也很少哭 为什么坐在你面前 就像站在湖边 细细的雾水就扯地连天冯唐《水》 ​ ​​​
山水孤单，她也孤单。她活得像一团飘来飘去的雾，有时候停在一场雨里，被浇透，灌满，变得沉重，坠陷，有时候悬在枝端，危险，易碎，转眼消失成一声叹息。 ​​​我也尝试过扎根的，她说，一生中刻舟求剑的时刻太多，人不能总是故地重游，将月照千山的真意一再违逆。 ​​​
#maspark事件##maspark树洞论坛# 女性安全！！！！！！！！！！！！！！？！？ ​​​
放弃你的那晚  我哭了很久很久  其实我可以继续厚着脸皮纠缠你  但是好像没有必要了  就算纠缠又如何呢  静静回想着过去  想想这段感情  我真的尽力了  我告诉自己这个坎应该过了  时间不会让我忘了你  只会让我习惯没有你  虽然对你难以释怀  但不会再对你满怀期待  缘分已尽  该散了  挺遗憾的  但又 ​​​ ...展开
创伤的本质在于，自己以为自己不值得被爱。伊米·洛 ​​​《你的敏感，就是你的天赋》 ​​​
觉醒的人只有一个目的地，找到自己，成为自己。黑塞 ​ ​​​
千燕莞语你甜 ​​​
看侏罗纪怎么这么揪心啊😖 ​​​
#杨洋不油了#一直觉得杨洋好帅，她油我也以为他是在抽象 ​​​
喉结靠肩上？？！！？余承恩你好会！！！！！！！！！！！！ ​​​
祝我们都有敢爱敢恨的勇气
好我想看这一秒过火 ​​​
李兰迪好适合古装，那套蓝色斗篷绝美 ​​​
敖瑞鹏的冻伤妆绝了 ​​​
我爱我
是的🙂‍↕️，我需要边界感
我不希望
是滴是滴，但是我还是会日日夜夜思念你，也许我们重联也会很好，因为我的心态不一样了，我成长了，不再是以前那个单纯的我了
焦糖味好闻😋 ​​​
评论罗伯特我们喜欢你 ​​​
不是，我真的觉得不喜欢就是不喜欢，你追我也没用啊，追到我这种情况只有在我本来就对你有好感的前提下才存在啊 ​​​
我又来到了最开始喜欢你的地方 ​​​
贵州烙锅你不乘哦 ​​​
李兰迪你美！！！！！！！！ ​​​
