大实话
//@新西兰冷百科孙小社:有些事可以以母子关系来理解，有些事则需要用成年人平等关系来看待，一切爱都是建立在双方相互理解的基础上的，否则爱就没有存在的立场
爹系太可怕了
掌握度很重要，别用力太猛
和人交往很看重真诚，如果发现这人在迎合我，会有一些不适；如果发现他在小事上，言语中，有随意的掩饰或为个人利益讨好性撒谎，会十分反感；而当知道他撒了弥天大谎，（甚至在我已非常明确暗示他撒谎）仍敢继续编织谎言，这种人真的侮辱无耻这两个字 ​​​
//@Ridiculeisnormalcy:迎合自己的人背后表里不一，不出活的话也是很难被信任的。当然，世界上充满了傻子。骗子不够用。//@梵高的向日葵258:【如果一个人努力工作、认真负责却得不到认可，而组织反而奖励那些善于搞关系、迎合上意的人，真正优秀的人就会失去动力】 国内是这样，但是其实这有点反人性， ...展开
我也是这样想，这样说，这样做的—-作为子女，是这么看的：如果父母是因为时代和自身的局限性做错了一些事，而这些事情已经无法再回到从前去纠正，随着时间的推移，最好的办法可能是自我成长，让过去的事情留在过去。尽量去看彼此的好  可是，知道更多的事实真相后…
耐心倾听，分析并解决问题
根据对周围人的观察：过度指责提醒的人焦虑情绪重，缺乏耐心，很难冷静倾听，爱指挥，强迫症、控制欲十足，不自知地固执 ​​​
爱惜物品固然重要，但因为要顾惜，就像宝贝似重重保护—-到底是拿来用的还是拿来供着的呀；另一种极端是不把用的东西当回事，掉了或者随手把新东西也扔了 ​​​
生活中本应抓大放小，无关紧要的一些所谓细节真的不需要太刻意关注矫正，不然真的压抑。稍微抱怨一下还可以理解，关键家庭成员里有人爱以此长篇论证：这是件小事，但习惯就是从小事开始的，一定要养成严谨的作风，不然遇到其他事会酿成严重后果…然后巴拉巴拉几十分钟—-好久以来这也能接受—-但是，最 ...展开
有人从小就被家长各种花式夸奖赞美，自负到不知天高地厚 ​​​
大部分事情都是一个探索的过程，探索中可能又有了新想法，并且探索过程本身就能让你学会很多东西，有这些积累才能走向更好的下一步
//@水木丁:第二个男生，一直在说女生好，女生家里好。能看到别人的好的人，一般对人也不错。//@一Buddy一:第一个实在听不下去，算盘珠子都崩我脸上了啥人啊这是第二个，对方家境好，人也好，也得男方知道惜福和坚持自我奋斗才能长久
松弛真的是一种奢侈品。从法国刚到瑞士的时候，对瑞士印象极佳，车站干净整洁，秩序井然。有两个小细节让我非常感慨：车站工作人员路过花店时，发现地上有一张纸屑，我肉眼几乎没看到，看这位小姐姐随手捡起这小小的垃圾，没时间扔垃圾桶，于是放在了自己的口袋里；第二个是站台上的一名男子，正用拖 ​​​ ...展开
他人对你的评价，他人对你的要求，其实投射的是他自己 ​​​
我从来没有像现在这样清醒过：之前的日子一直在不断满足别人的需求，从没想过我可以首先做自己，因为在乎家人，总是怕矛盾冲突，很多想法甚至仅仅停留在内心，以为别人会像我一样付出了就会被看见、体谅 ​​​
后来我慢慢意识到：那些对我的要求只适用于我，而我竭力满足要求的同时却没有其他人来遵守 ​​​
一个人对事物的评价，对冲突的处理方式，对身边人的态度，对各类琐碎的解决办法，更深入聊天，可以识人 ​​​
要真正了解一个人，的确需要相当长的时间 ​​​
这些天对自己很满意👍 ​​​
保护自己，所有涉及钱款物的事一定要有据，在相关人中清晰公开，别说什么君子之风；对他人保持边界，你的善意，没有戳中他的点，就成了记恨你的理由
保持对生活的热情，对世界的好奇 ​​​
关系的建立，一定在模式积极、自我进步的人之间产生。多数人的关系其实很像垂坠重物的钟摆，因为一个事情，重力忽然扯断了“防御”的缰绳，然后就分道扬镳
这个世界上，人和人从未平等过。有时候除了制度、经济的高墙，还有信息的高墙，让弱势者不仅经济上举步维艰，知识和眼界也是“井底之蛙”，稀里糊涂的接受错误的逻辑，荒谬的叙事
大部分人的交友模式都是日常的、步步深入的，前期聊天基本靠侃大山。关系逐渐升级，从见面点头-聊短暂的天-拉拉家常吐吐槽-帮忙解决问题-推心置腹成为好友，有缘的能完成最后两步，没缘的也能停留在这人不错说话有意思上，日常帮帮小忙拓展关系完全够了
穷人容错率低
真正的爱：1 愿意无偿提供物质支持，尤其是迫切需要的经济援助，2 愿意提供无偿服务可是人们大多喜欢锦上添花，不会雪中送炭 ​​​
太赞同了：自由职业适合自律能力比较强的人，如果不能自律反而有约束的生活会好一点。自律才有自由，有了自由需要更加自律
占你便宜的希望你可以一直被占便宜，只有你提供价值的时候他们才会冒出头笑着对你
保持愉悦心情的高能量，就一定会有好事发生。无论身处何种位置，嘴上不逞强，不炫耀，不狂妄，才会兜住自己的福气
//@风苇倾谈:Dr. Daniel Amen 的理念很先进（本人主观判断，beyond gentle love），在于这些观点突破了传统育儿里“不是溺爱就是立规矩”的二元对立。他提出，真正能培养心理强大的孩子，需要把清晰的边界、稳定的情感连接和逐步培养的责任感结合起来。首先，父母要先澄清自己想成为什么样的人，再以此 ...展开
有些事情比钱重要得多，可是因为挣钱占据了所有时间，机械惯性的大脑完全没法思考，等发现时再也无法弥补 ​​​
有些人自己缺乏耐心也罢了，还将恐慌延伸给他人 ​​​
很多人的对话，并不是为了良性沟通的目的，即传递信息，互通有无，而是随时随地找出漏洞，以便反驳或彰显自己的高雅
“当你对别人有用时，人性就是善良的。当你对别人无用时，人性就是自私的。当你触碰别人利益时，人性就是恶毒的。”——杨绛 以上体会很深 ​​​
世界上最大的监狱是人的大脑，走不出自己的观念，自觉走入他人的逻辑困境，到哪里都是囚徒
都不愿意别人说他没穿衣服
精力真的是有限滴
