宝～
#子夜归归蜜请入座# “梅梦成祯”对我说的甜言蜜语！你也想拥有吗！#微博云包场# #子夜归#  ​​​
哈哈哈 校园男神 查看图片
like u
张极超话 我去 宝宝 ​​​
宝宝//@时代少年团-宋亚轩:🤟
宝宝 早上好呀😘😘😘
宝宝
宝宝//@TOP登陆少年-张极:很高兴成为袋鼠妈妈青少年洗护系列全球代言人！我将和@袋鼠妈妈 一起守护青春好状态！让我们成为更好的自己！ #青春登陆有我守护#
宝宝
宝宝
kin
期待宝宝//@TOP登陆少年-张极:#登陆少年ONE有引力演唱会# You are my Gravity
已拿下 查看图片
铭记历史//@时代少年团-宋亚轩:#日本投降80周年# 胜利来之不易！吾辈自强！#8月15日中国人必须铭记#
铭记历史//@TOP登陆少年-张极:铭记历史，缅怀先烈，吾辈自强！#日本战败投降80周年#
宝宝
宝宝 查看图片
宝宝要好好休息吧
宝宝 要好好休息哦
张极超话 👑#张极05后第一男歌手#👑#张极优时颜黑引力系列代言人#我怕时间太快⌛️不够将你看仔细～05后第一男歌手@TOP登陆少年-张极 的歌声像深夜亮着的一盏灯💡照见心里最柔软的固执⏳𝐉𝐄𝐑𝐄𝐌𝐘浪漫月夜·张极的微博视频 cr:@浪漫月夜·张极 张极共情力·张极红酒音·张极 ​​​ ...展开
张极超话 🧡#张极05后第一男歌手#🧡#张极优时颜黑引力系列代言人#​​优越的身材比例，完美的舞姿，配合红酒嗓音🍷演绎《kiss me more》👄少年含情脉脉，完美展现神级舞台浪漫月夜·张极的微博视频cr:@浪漫月夜·张极【张极写真】【张极高音】【张极表情包】【张极大主唱】【张极合成器 ​​​ ...展开
宝宝
宝宝  每一个和你一起的瞬间 我们都会记住 
宝宝 你很棒 在我心中你就是加速王😘😘😘//@TOP登陆少年-张极:全员今天正式完结啦！出道之后我们第一个陪伴大家这么久的常驻综艺，其实想说的话在录制那天已经和大家讲过了，今天再来正式告个别吧！未来！我会继续！跑下去的！下一站见！#全员加速中收官##全员加速中战绩可查##全员加速中# ...展开
宝宝
张极超话 👑#张极05后第一男歌手#👑#张极优时颜黑引力系列代言人#仙气飘飘，如梦似幻，绝对实力唱将带来视听盛宴《如梦》，可与我在共赴命运的战场🧡浪漫月夜·张极的微博视频cr：@浪漫月夜·张极【张极舞台】【张极音色】【𝑨𝒍𝒍 𝑭𝒐𝒓 𝒁𝒉𝒂𝒏𝒈𝑱𝒊】 ​​​ ...展开
宋亚轩超话 🎀#宋亚轩 青衿向戏灼韶华# 🎀#宋亚轩 瑾瑜发奇光#  “晚风轻踩着云朵 月亮在贩售快乐 你从银河背后靠近我 我与星辉一同为你沉沦。 ”@时代少年团-宋亚轩#宋亚轩spr.# 张敏感za的微博视频 ​​​
张极超话 😎#张极05后第一男歌手#😎#张极优时颜黑引力系列代言人#𝗝𝗘𝗥𝗘𝗠𝗬大反派要来了💥@TOP登陆少年-张极 用充满戏剧张力的嗓音🎤撕碎标签😎演绎极致反派美学！ 浪漫月夜·张极的微博视频 cr:@浪漫月夜·张极 【张极舞台】【张极音色】【𝑨𝒍𝒍 𝑭𝒐? ​​​ ...展开
张极超话 🍊#张极05后第一男歌手#🍊#张极优时颜黑引力系列代言人#宝蓝碎钻，微笑犯规，氛围感💎《Bite Me》尽享迷人舞姿“oh my oh my god”灵魂洗涤，视觉冲击⭐十指勾魂，魅力满分💯浪漫月夜·张极的微博视频cr:@浪漫月夜·张极【张极音色】【张极氛围感】【张极天生爱豆】【张极唯一 ​​​ ...展开
宝宝舞台超帅😘
张极#按下摁钮TOP解散#
轩宝 立秋快乐！
劳保好ex
宋亚轩超话 立秋快乐 @时代少年团-宋亚轩 ​​​
张极超话 立秋快乐 @TOP登陆少年-张极 ​​​
//@TFBOYS-王俊凯:我们在夏天讨论爱与陪伴，许下一个充满温度的心愿。生日快乐，亲爱的你们。
宝宝 好想你😘❤️
张极超话 ⭐️#张极05后第一男歌手#⭐️#张极优时颜黑引力系列代言人#抬眸间笑意显现 Killing part缔造者再次复刻高光时刻 观赏性S级舞台💯《More&amp;Youngblood》不容错过🎊浪漫月夜·张极的微博视频cr：@浪漫月夜·张极【张极穿搭】【张极男模】【张极蜜嗓】【𝑨𝒍𝒍 𝑭𝒐𝒓 ? ​​​ ...展开
张极超话 👑#张极05后第一男歌手#👑#张极优时颜黑引力系列代言人#​​握紧麦克风🎤跟随神颜主唱沉浸在《leave the door open》✨红酒音🍷醇香甘甜，开口定调🧡余音绕梁，身临其境，无法自拔浪漫月夜·张极的微博视频cr:@浪漫月夜·张极【张极写真】【张极高音】【张极表情包】【张极 ​​​ ...展开
宝宝
张极超话 🧡#张极05后第一男歌手#🧡#张极优时颜黑引力系列代言人#⚡每个卡点都是荷尔蒙核爆💥教科书级表情管理点燃全网🌌 绸缎领带化作欲望牵引线 ⛓天生镜头侵略者💫绝不能错过张极的《I warned myself》🔝 PLACEBO-张极的微博视频 cr:@PLACEBO-张极【张极穿搭】【张极男模】【 ​​​ ...展开
张极超话 🧡#张极05后第一男歌手#🧡#张极优时颜黑引力系列代言人#​​无袖✨贝雷帽✨领带✨元气爱豆反差感满满激情演绎🔥《Baggy jeans》舞蹈强烈震感，力度燃爆青春舞台🔥Vapanman面包超人丨张极的微博视频cr:@Vapanman面包超人丨张极【张极音色】【张极氛围感】【张极天生爱豆】【张极唯一主 ​​​ ...展开
极极baby  好可爱
张极超话 🧡#张极05后第一男歌手#🧡#张极优时颜黑引力系列代言人#红酒嗓音🍷柔情吟唱《Paris in the rain》唯一主唱稳定发挥 带来一场前所未有的视听盛宴 🧡浪漫月夜·张极的微博视频cr：@浪漫月夜·张极【张极舞台】【张极音色】【张极氛围感】【张极天生爱豆】【张极唯一主唱】 ​​​ ...展开
"张极超话 ⭐️#张极05后第一男歌手#⭐️#张极优时颜黑引力系列代言人#红酒音🍷天生爱豆再现《Leave the door open》,神级舞台🥰净化双耳✨迎来视听盛宴。浪漫月夜·张极的微博视频cr:@浪漫月夜·张极【张极音色】【张极氛围感】【张极天生爱豆】【张极唯一主唱】【张极壁纸】【张极生图】 ​​​ ...展开"
张极超话 😎#张极05后第一男歌手#😎#张极优时颜黑引力系列代言人#​​神颜爱豆✨实力舞台掌控者🌊《登神GODS》舞蹈力度拉满✨表情管理满分💯极时雨·张极的微博视频cr：@极时雨·张极 【张极音色】【张极氛围感】【张极天生爱豆】【张极唯一主唱】【张极壁纸】【张极生图】 ​​​ ...展开
张极超话#超话寻宝挑战赛##小卡101#【小卡属性】：张极官周【投稿理由】：绝美【推荐语】：超级好看🧡🧡🧡 ​​​
致敬//@时代少年团-宋亚轩:感谢你们守护大好河山万家灯火！#锦绣山河有你心安#
致敬人民子弟兵//@TOP登陆少年-张极:感谢你们守护大好河山万家灯火！#锦绣山河有你心安#
宝宝
宝宝 好想你🥰
