柱子哥：写出来痛苦就会过去
#只有考上985和211才有出路吗#对于这个话题，我觉得可以从两个角度进行谈论第一个是宏观的整体的角度，从这个角度上讲，考上985和211的学校，相对确实能拥有更多的机会。在公司招聘，大公司或者好的企业会根据学校的整体水平，给予不同层级的待遇或者政策，然后再考察个人的能力水平。考公考编的 ​​​ ...展开
#学习打卡##今天也在好好写作# 用“行动飞轮”理念，开始自己的创作前一篇博文写了阳志平老师在《工作的心智》里面提到的要用作品牵引学习和工作的观点。但如何开始自己的创作，如何成为持续的创作者呢？阳老师分享了“行动飞轮”的创作理念。一个行动飞轮由最易目标，最佳情景，最小行动三个元素 ​​​ ...展开
“根是相互连接的，虽然上面的水，空气被隔开，还有各种墙的存在。”昨天在小宇宙听一个博客访谈时，一个嘉宾在谈到前段时间的“tiktok refugee”(tiktok 难民）到小红书与国人交流时让我印象深刻的一句话。是啊，在网络世界中，很多时候我们被打上或者给很多人打上一个又一个的标签，以此来进行“ ​​​ ...展开
#学习##自我提升##2025# 你的作品是什么？用作品牵引工作和学习最近，我在阅读痒志平老师所著的《工作的心智》，书中一个观点让我深受启发——用作品牵引学习和工作。在以往传统路径中，我们常遵循“学习 - 工作 - 作品”的顺序，作品只是学习和工作的副产品。如今，随着 AI 时代的到来以及社会需 ​​​ ...展开
#回乡见闻# 回乡见闻两则一：归乡与返程（素材来自返程上班的师姐）车厢里挤满了人，七座的车硬生生塞进了十一个。大箱子、背包、还有那些疲惫的面孔，人叠人，组成了进城务工的全景。一个小妹在角落里抽烟，烟雾缭绕中，她的眼神有些迷离。两个看起来才十多岁的小妹，说是要去外省打工。她 ​​​ ...展开
#大s去世##大s树葬# 我们如何面对死亡?《流星花园》在我关于爱情、帅气、酷、美丽的童年启蒙中起着不可替代的作用。大s也因此成为我心中甜美女神的代表。对于她突然而意外的死亡，我相信对每一个曾经胸怀关于爱情、关于美丽、关于浪漫的少男少女都会带来巨大的心痛。她曾经给我们带来了那么多的欢 ​​​ ...展开
回乡的年龄焦虑回家过年的这段时间，感觉自己的年龄加速了几岁，在北京从来没有的年龄焦虑，在回家的这几天较为明显的浮现出来了。在老家，自己的年龄似乎被提高了好几岁，因为同龄的人不是在订婚、结婚，就是在一胎、二胎，有的甚至已经开启了二婚的征程，但自己因为还在校园，仍然有“小孩心态”， ​​​ ...展开
纪录片//@马少平THU:导演安东尼奥尼，当时咱们还针对他这部影片，拍摄了一部纪录片《万紫千红》//@樊建川:联想到蓝苹。//@陆浑戎:-//@急雨松风:时间过得真快，这在当时可是头等的大事儿。看了一下原博的转发和评论区，竟没有一个人能说出这个导演的名字。提示一下，此人叫安东尼奥尼，是否能想起点什么 ...展开
制定恶心人的规则柯洁忍了，在比赛中自己身为裁判，在没有落子前封盘，明晃晃的为自己国家的选手争取时间，是可忍孰不可忍！不如不用比这个赛，直接宣布你们是冠军得了围棋原本是一项很优雅的运动，但是却被他们搞成了操纵胜负的工具，这样的心胸与操作，赢了也难以令人信服！#柯洁不比了# ​​​
最近#潘宏# 在一次直播中给阿拉斯加犬“艾特”洗澡时，因操作不当导致“艾特”不幸离世的事闹得沸沸扬扬。作为一名宠物爱好者，我想说的是：宠物是我们的朋友，而不是流量工具，更不能被伪科学害了命！以下是10条常见的养宠误区，大家可以mark一下，以备不时之需：1. 扎住宠物嘴巴可以防止攻击 ​​​ ...展开
现在开始借助一些带有ai功能的app写日记，以前不想写日记的一个原因就是有点懒得动笔，记流水账会花费挺多时间的，现在用语音转文字，几分钟就能搞一千多字，再用ai功能润色一下，得到的文稿质量还不错。就是写长文还没有启动，不过搞不了技术blog分享，是不是可以写一些事件的分析与思考
//@来去之间://@BMWM3M4:大老师太拼了，这不转发给更多人看到说不过去啊，大家都转起来
//@宝玉xp:还分三六九等，考不上啊大学就要去做XXX了//@狸角兽:我们太多的教育都是“威胁”，而不是“热爱”。
//@宝玉xp:回复@未知海苔2:bolt.new 可以在浏览器中运行，可以实时预览效果，不需要本地搭建运行环境，但是只支持web程序//@未知海苔2:请教一下，bolt.new和cursor比较来看，有什么不同呢？//@宝玉xp:推荐没用过的用用 bolt.new，很好用的在线AI编程工具
@怼怼模拟器 请根据我微博的内容，分条列举骂我 ​​​
Ai的赋能应用，mark
一个好的分享
