很难评 很难品赌一把 反正也是有赢的资本在的 对吧 ​​​
爱一定是平级的 势均力敌的 才能有来有回的保持链接稍微有距离有差池有悬殊 你只能仰望或者崇拜 对方是不会正眼看你的 高不可攀是个很客观的现象 维度提升不上去 你根本看不到对方眼睛里看到的世界 对方内心投射出来的内容 你只会误解和否定 无法理解和接纳 无法互相帮助 谈何爱呢？ ​​​
那人本可能是“光” 带给你温暖与成长亦或是“影” 带给你伤痛与挑战这段关系可能曾让你舒服 也可能曾让你痛苦 但此刻真正重要的并非过往的种种 而是他们唤醒了你内心的哪些特质 让你有机会看见更完整的自己 ​​​
你的灵魂拥有其自身的智慧古老且携带着往世的记忆碎片 它不遵循逻辑规则 也不受时间线性流逝的约束 在符号与影像中穿行 在情感充沛的体验之间穿梭 若你的灵魂不断重返某人身畔 只因那里发生过意义非凡之事 有未竟之物亟待寻回不是为了“重返关系” 而是为了找回那个尚未被接纳 尚未被融入自我的部 ​​​ ...展开
很多时候 我们建立关系 源于一种无形的“匮乏感”我们在他人身上寻找自己未能自我给予的部分 当这段关系终结时 我们会感觉仿佛有东西被生生撕裂 但真正令人痛心的 不是失去了那个人 而是暴露了内心的空洞每一次失去同时也是一次机遇 一份邀约 去领悟那份“空无”并非惩罚 孕育新生的沃土 需要耐心 ​​​ ...展开
你必须停止专注于“对方的缺席” 转而理解这份缺席试图教给你的东西这并非要用各种消遣填补空缺 不是要你变得冷酷无情 也不是假装一切从未发生 而是要你深入“伤痛犹在之处” 怀着理解的意愿与自己对话因为当你敢于以觉知直面痛苦时 它便不再能掌控你 定义你 反而会成为通往更深层自我认知的道路 ​​​
你迟早会发现 曾经深信“唯有对方能给予”的东西 早已在你内心悄然绽放 这份觉醒源于内心的深度修炼 过程或许并不舒适 却拥有改变人生的力量“没有痛苦就没有意识的觉醒” 不断思念某人或许是一种痛苦 却也可能是你正处在转变边缘的征兆 不要逃避你的感受 不要因回忆而惩罚自己 试着倾听灵魂试图告诉 ​​​ ...展开
傲慢与偏见-宝剑2 不愿意低头弯腰去学习自己没有的技能 只想凭借自己是块金子 迟早被人发现 缺乏主动性 一味的被动 一味的认为 环境会自动推动和进展 忽略了自己的有效发挥和能力 ​​​
“有时候过度包容一个人 是因为能看到那是对方的习性 而不是对方的恶意”可是你忘了 你在这段关系里 所处于的是什么角色如果你是佛陀 能理解每个人 但你在这段关系里 是朋友 是女友 是合伙人 就没必要超出这个角色去给对方过分的抱持 否则连自己该有的尊重都会失去 ​​​
一切与他人互动的模式 是你选择的 如果不想要继续这样的模式 自己选择结束就好 ​​​
所有东西都可以拒绝 如果一件事让你不敢拒绝 那就更要拒绝 ​​​
卷子真的是我每日的快乐源泉 Babyiamoveryou的微博视频 ​​​
🔮命运之轮：风水轮流转你必须要坚信 你自己的问题 只要你自己能解决无法假借他手 但凡有所依赖 就会再轮回第二遍 ​​​
886
最近的感情案例真的高强度抽到命运之轮啊。在这段关系中像这个轮子上的人一样不断旋转时而高时而低，有时上头，有时又想放弃，还无法控制，不知道是谁在转动命运之轮。但有的人转够了、累了，最终还是能从轮子上下来，眺望未来。而有的人明知道这是轮回，还是不愿意离开轮子，是在幻想它能把自己转到 ​​​ ...展开
//@不伤玻璃的光__:善良是心里的东西 但不是要被人发现的属性//@贩卖快樂宇宙:请问小光老师 被人发现善良是有问题的 的意思是 可能会被人索取吗
🔮在生活中要跟着感觉走 不要跟着欲望走了塔罗超话 ​​​
要的就是对丰盛的一无所知 才能体会到全然的美好 ​​​
//@丛林大鹅:“承受痛苦”比“解决问题”更容易，所以人类宁愿一边抱怨一边忍受痛苦，也不愿意真正行动起来去做出改变。其实这也是一种知行不合一：我“知道”自己需要解决问题，但我就是屈服于懒惰or低能量状态不想去“做到”解决问题。//@沐辞心语:内耗从某种角度看，就是“逃避做事”，虽然有情绪病 ...展开
但凡不是平级 就无法实现同频的交流 鸡同鸭讲你想要渡化他人 是一定要降维 才能实现沟通 ​​​
充分了解自己 充分开发自己 ​​​
每个人是不一样的 绝对不能盲目听从就像是这个“ 听” … 有的人看一遍就能学会 有人是听一遍才能学会 有的人必须手把手教一遍才可以有的人学习东西是有滞后性的 有的人可以当时就变现这种差异性绝对不是用来区分谁聪明谁傻谁笨的 方法方式用对了 所有的东西都是对的 ​​​
钱到位了啥都好说？
为什么穷人乍富最可怕?因为只有他短暂地成为了高峰，却依然生活在掠夺圈里，他接触的每一个人都是来掠夺他的。为什么跌落谷底的人还会东山再起?论掠夺其实他曾经吃鸡过，论守成他深刻地被教育过。失去的只是名利和地位，只要神不散，千金散尽还复来。行的人有把自己的神识凝聚的本能，不行的人有把 ​​​ ...展开
如果一个人身边没有马仔呢 ？
嗯
平地起高楼
… “赌上一切” 你以为你的一切很值钱吗 拿不起放不下 终究会兜兜转转 两手空空 ​​​
那些有能力为自己渴望的生活勇敢出价的人 才配得到幸福 ​​​
从今年开始 我非常抵触恐怖片 可能是我的显化能力过强 所有被我录入的影像和信息都会被传导成现实而且所有恐怖游戏 电影的背景 一定是倒霉的原生家庭 破败的公寓住宅 屏蔽的手机信号 我认为这些都无法在幸福的家庭和完整的人身上出现如果无视从小原生家庭的内心的痛苦 进入了社会（公寓住宅）也只 ​​​ ...展开
我们最后爱上的不过是自己 ：）世另我
如果你是男生 可以幻想/假设自己是一个女孩子 会喜欢什么类型的男孩子 会希望对方具备怎样的特质和能力bingo 那就是你需要去学习和提升的地方 ​​​
//@BBKirara:换种说法，前种“聪明”是自我表现、是一时“脱颖而出”、是讨人喜欢（也可能遭人讨厌）；后一种聪明是务实、是靠谱、是长期主义、是让人信任的能力。30以后还是只有前一种“聪明”，很容易沦为小丑。年纪上去会明白大部分“喜欢”其实和讨厌一样，没什么价值。我喜欢你但不信任你，或者我 ...展开
遇到过一回别人对你无条件的付出 不求回报也没有任何道德压力 没有什么身份的情况下心病立刻就好了 从某种理所应当的幻觉中走出来 开始感恩每一份爱意 开始清晰的了解到自己真实的想法祛魅祛到极致 就是不再自恋自怜自虐也不再渴望深情 对表演保持距离 回归真实 ​​​
建模的重要性 没有大旋律 大框架 关键核心 人很容易散架 没有底儿 ​​​
是不是所有的赛道王者都是人妖 虽然言语的迷惑性 比逻辑更容易判断 但是仍旧是一个吃来吃去的游戏 所有的惩罚 臣服 都是角色扮演 ​​​
但凡去找 就都是错误 好东西从来都是碰来的 所以才说 要碰运气 碰到了就是 碰不到也别去找 ​​​
 想了半天 我还是喜欢玩运气游戏🍀 对权利拉扯没兴趣 这种表演性质的 只能拿来找乐子 玩点意想不到的 才会有超乎所以的 出乎我预判的感觉 但凡有一条轨迹线被我抓到 我就会觉得 不过如此了 ​​​
几年前 大部分人都在好好学习 而我狠狠爱几年后 大部分人 狠狠爱了 我第一个退圈了又过了几年 都在宣传姐弟恋 不图钱 图肉体我又开始追求真爱和自我了 图什么都不如图我自己高兴 ​​​
是的
纯纯贪财好色而已 ​​​
妖精不懂人情世故 ​​​
每一个行为都在传递着信号 哪怕扭曲得无以复加 哪怕欲盖弥彰 言不由衷 但依然无处遁形 ​​​
//@丛林大鹅:是的，教育的本质就是否定。因为如果你现在比别人都厉害，那外界是不会有人想去敢去教育你的；只有当外界觉得你这人不如TA们自己的时候，大家才会觉得“我可以教育教育这个人”。所以这也是为什么“你在教我做事？”会变成一句非常盛行的怼人金句，因为不请自来的教育本质就是不请自来地否 ...展开
给出Ａ 反馈是B 正确的做法是C 那位置排序就变成了D ​​​
用不自然不健康的方式找开心了自然就收走了本来要给你的纯粹的好消息 ​​​
没有优待 都是正常分配只要不是损人利己 甚至损人不利己 就可以静候佳音 ​​​
有情者富 有爱者贵 ​​​
Emmm 今天日运死神💀信使无处不在 仿佛链接🔗全宇宙的消息 ​​​
我观察已经有很多人在放弃对于外表的追求 甚至于通过禁欲 来审视自身 到底喜欢什么 渴望什么而不是一股脑的上头幻想 讨好迁就来实现连结这件事欲重者 确实是可以通过禁欲来区分和辨别幻晕者 也可以通过形象折损来完成基础的筛选但是爱一个人是想要成为更好的自己 能够凌驾于外在的一切欲望 看到 ​​​ ...展开
我观察已经有很多人在放弃对于外表的追求 甚至于通过禁欲 来审视自身 到底喜欢什么 渴望什么 而不是一股脑的上头幻想 讨好迁就来实现连结这件事  欲重者 确实是可以通过禁欲来区分和辨别 幻晕者 也可以通过形象折损来完成基础的筛选  但是爱一个人是想要成为更好的自己 能够凌驾于外在的一切欲望 看到 ...展开
//@丛林大鹅:不光是智力不够，从身体健康的角度讲，说话弯弯绕绕的人都属于经络不通气血瘀滞。用大白话解释就是这类人的气血运行就不通畅，属于歪七扭八别别扭扭的，所以体现在外在行为上也是同样的弯弯绕绕不直爽。不然你去观察那些身体健康心理健康的人，没有哪个人说话是阴阳怪气弯弯绕绕的，越健康 ...展开
一个人评价他人的方式是最彻底的自我描述他给你扣的罪名就是他自己最心虚的地方 ​​​
男人会去判断这个人会不会制造麻烦男人只想着怎么解决麻烦 而不会想着这个人可能比较特别但是女人却可以看到一个“麻烦”的人带来的其他的变化 并先不认定其是麻烦 会先给予其自由 ​​​
要 吃得好所有能量的摄取 都决定了自身生命的质量和安全 ​​​
星盘上的天赋庙旺 是很容易一眼看到的只是有的 发展了百分之20 有的人拉满人生是一场豪赌 尤其是八宫 不入虎穴 焉得虎子 ​​​
能力越大 责任越大解决问题就是一个人的底气利他心越强 一个人就越来越强 ​​​
不再因为上头 幻觉 进入感情也就不会因为下头 破灭 而离开感情 ​​​
未来就是合作共赢的模式：拿你有的 去换 你没有的东西所以要知道自己有什么 知道自己要什么 知道谁有自己想要的东西 知道该怎么和对方产生交换 ​​​
身体容貌焦虑 本质上是厌恶自己无法欣赏自己的优点 感觉到满足和自信不能正视自己的缺点 妄想通过改造身体来完成精神的转变 是本末倒置一次充分且彻底的精神疗愈和洗礼 身体会自动完成更新任务 ​​​
农历七月 小心造口业 任何人事平心而论 ​​​
谢谢你让我知道我是谁 one more time ​​​
无论挑选伴侣还是朋友 要尽量选择那些有力量 有意愿保护你的自我 并帮助你实现个人价值的人们 而非那些压榨你的自我去为他服务的 ​​​
一旦你许愿的时候是严格要求自己 宽以待人才不会是诅咒 而是大礼包只考虑自己而许下的任何愿望 都是在给自己挖坑当你开始希望别人好 超过 自己好 哪怕只有0.001你信不信 结果会超越你的想象 ​​​
能面对“别人推过来的情绪”临阵不乱的人[强]很多恶事恶语都只是当时接住了别人错误的情绪 然后惹出来的麻烦而已 ​​​
🔮最绝的是三位一体 八字 塔罗 星盘 合在一起三束显微照射到一个点上 基本上就能够确定一个人基础的逻辑思维模式了塔罗超话 ​​​
🔮“谢谢你成全了我的碧海蓝天”🎵心里听到那个声音 不要躲避 你要去回复他他说：你怎么可以这样对我 你回复他： 对不起他说： 我爱你 你回复他： 我爱你他说： 我这么努力为你改变 你回复他：谢谢你塔罗超话 ​​​
抽牌看了一下iPhone 15-16-17 的对比感觉没必要买 等它成年吧 ​​​
完美的复刻了前世所有的剧情 只为了学习做一个平凡的人 能够好好爱人 好好工作当你认为一切也就是这个样子的时候 命运的齿轮才开始发生转动 ​​​
如果可以选择自己所交往的对象 那么优先策略是筛选 哪怕在不愉快的关系中舍弃一点沉没成本 也要迅速摆脱破坏自己心情的人和事 不纠缠 不对抗但假如一个人对环境没有太大选择权 也就是周围充满了消耗性的人 那么面对不公平 就必须据理力争 以免被当成软弱可欺的对象 惹来更多麻烦 ​​​
寒则凝 温则通 身如此 心灵亦然多跟人说温柔 温暖的话 心灵通了 世上无难事 当然 你救不了所有人 有的人自己每天都跟自己说一些寒心话 自然会生心病 ​​​
身份名头没啥意义 还是看待遇 ​​​
做到不自恋 谋独立 一个人就很难崩溃不自恋 主要是指别把自己太当回事 别觉得自己能控制一切 更别觉得别人都在关心着自己 盯着自己 这些都是自恋的一种 最大的坏处就是容易导致自己被虚头巴脑的东西控制 在头脑中走了太多的路 耽误了太多时间谋独立 家庭条件不好 那任务就更客观 先生存 家庭条件好 ​​​ ...展开
无定局 一切可变债多 局死 不再出现转机 只能迎接审判 ​​​
船到桥头自然直 ​​​
怕什么 很多都是集体能量 不小心卷进去 就跟着一起学习一下 就像是听了一节课 有则改之 无则加勉外界环境的影响是不可能消失的 但是你如果变得不够强大 任何事物都有一天被收回 必须学会与之对抗 对抗你身边的人是没有意义的 还是要回到自己身上 就像是外界是海浪 你是冲浪者 ​​​
贵的不代表好 适合自己的用的最顺手的才是最好的不能因为有点钱就丢了心 贵的也许是好 但是到你这就不一定好使 无用功 也找不到自己好使的品牌 好使的工具 好使的伙伴 ​​​
