我与我周旋久 宁作我 ​​​
擦脸油之回了家被我妈养的花以及两天接触的狗狗们 给自己干过敏失声了吃点俺妈和小妈的健康菜 ​​​
同为放弃入职的小朋友 学业有成！祝你也祝我 ​​​
“老西我想上清华呀”“同学 咱们报低点吧” ​​​
谁懂这种感觉啊 从小一起玩到大的弟弟 我妈给我电话说他要结婚了 我的妈啊 ​​​
是谁老公送完戒指又送镯子咯 ​​​
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ​​​
小学生终于快要结束打工了 ​​​
是谁又到夏天换了纯色美甲子 ​​​
🧺 ​​​
提离职后上班像春游 活都愿意多干点了 ​​​
毕业典礼画好妆 来吃香香早饭 超越99%大学生 ​​​
生日撞上体检 医生：今天生日呀 祝你好运 ​​​
真的要生气了草 ​​​
 ​​​
入职来所有接手岗位 每天都感觉自己像人贩子 ​​​
前一天在公司对面当娘娘后一天就在公司里当牛马什么班 需要本宫亲自上啊 ​​​
🎓 ​​​
一口气报完一串手机号的是什么傻逼啊草 ​​​
亲爱的玫瑰20你终于又回来了 ​​​
嗯 上班了 收到老板给的挂面 ​​​
不要再重蹈覆辙咯 ​​​
我永远喜欢马里奥同学@Mario-Liii ​​​
恩 真是哥俩好 ​​​
每次找算法工程师类候选人时看到一些专升本上来还很优秀的人的时候心里总会默默的想 你也走了很远的路吧果然太感性 做不了资本家 ​​​
吗的 好累啊好累啊 ​​​
人总有点无名火要发 ​​​
有一种家乡在召唤我的感觉 ​​​
擦小明 战绩可查  ​​​
哈哈哈哈哈哈哈哈不愧是找工作➕写论文的应届生 拿着中核发的小作文 AIGC全红 真笑死 ​​​
吗的 想骂人我是坏脾气女人 ​​​
小清 好好道个别 ​​​
为马哥点赞的一周可以在上班前把我要的东西都准备好又因为自己要回老家有事怕自己走了我不舒服提前连夜带我去医院我自己不敢住他家就回学校住 他觉得我在学校住不方便 又赶着回来接我回家住又是被感动的小女孩偷偷表扬一下不然马哥得意忘形 ​​​
和马哥点亮新坐标太难受了5555 ​​​
老公给的安全感➕1 ​​​
 ​​​
老师 您说完我也蛮焦虑…自己立刻回看了一下我的数据吗的 粘错了 直接整出来8个童工我真…开始焦虑了 ​​​
 ​​​
发不完根本发不完  ​​​
大师 ​​​
第三段实习了…发现海南鸡饭还在我身边别管我了  ​​​
还是会觉得自己是个不懂事的小孩 一点小事呢 总期待它永远新鲜 不变质 极力想去用一些自以为珍贵的东西去赌赌友谊长存 爱情常驻 真诚碰上真诚的人…时常把时间浪费在这上面即便 失败了 下一次依然去来一场豪赌哈哈哈救命 谁能懂我不管了不管了 爱咋咋 过好我的短短小时光 不行就算球 永远 ​​​ ...展开
吃饭获得爱的号码牌 ​​​
早俩月让我接触调酒 也不至于现在春招了擦大师 随随便便就是清晰分层的B52 ​​​
近期最好笑的事出现了 在招ai客服类产品 给候选人打电话 自报家门后 候选人：你是AI还是人啊我：？！？！ ​​​
灰灰有饭盆咯 ​​​
求职意向：一个让我天天躺在宿舍的岗位 ​​​
我的老天奶 突然被抖音刷到的 “人类是爱过的人拼成的马赛克”打动了…细想一下 真的是啊 ​​​
当小哑巴！
奇奇怪怪的突然醒了就睡不着咯每次在这张小床上熬夜的时候 总能想到那段时光 半夜的焦虑难眠 又担心6点多起床起不来…恶性循环 甚至一宿没合眼…放下了吧 应该是这样的我本来就没那么在意结果 可这个过程又让我好难忘记呀哈哈哈哈 尤其是当别人问出的那一刻一幕幕像过电影一样 又走来一遍 我说是 ​​​ ...展开
虽然大吵一架 还是希望他天天都少被我气到吧 ​​​
完蛋 开始想下班了 ​​​
不是 我他妈一干活想把人豆沙了 ​​​
得知坐在老板边上的工位 已老实 ​​​
嗯 呵呵 哈哈 ​​​
几个很值得的瞬间  ​​​
马哥：再醉生梦死一晚 ​​​
和马哥在成都能有多抽象我俩看到一个出租车问师傅：走吗师傅师傅：不走…我在处理交通事故 ​​​
跟着马哥 喝酒已经喝到next level 硬是给我整脱敏了 ​​​
我问她该不该二战 ​​​
我不会失败的 要么成功 要么学到东西 想一直幸福快乐的小陈的微博视频 ​​​
考研到此结束 老子要去来财！ ​​​
咖啡苦 哪有明天查分苦好像4️⃣ ​​​
煎饼果子味儿擦脸油 ​​​
 ​​​
要离职了发现电脑 可以躺平 太神奇了哈哈哈哈哈哈哈哈哈笑死 ​​​
离职前胃口be like: ​​​
咱们说 真的有被笑死看着面前的工作 不知道咋做了 一下子就是一个大动静 这可以报工伤吗崔姐：你别看了 下一个晕的就是你了 ​​​
