原来陈绮贞这么厉害 ​​​
朋友圈都在发伦敦极光 被刷屏了然而 俺周六上班“当你们在翻山越岭的另一边 我在上班的路上没有尽头”🎵💔 ​​​
🌊 ​​​
分享图片 ​​​
四年后见面我们依然是以前一样那么多话聊 那么纯粹意外惊喜的深圳之约 ​​​
晕乎乎刷了pay支付然后商务座 无效卡周一上班人真多 是一个座位都没啊从早上就给我机会站着减肥 ​​​
2月📝吃的最开心的几顿好吃的 ​​​
拜见五路财神爷 ​​​
分享图片 ​​​
问自己偷时间 ​​​
耳机是最廉价的飞船 ​​​
整理各种手机的库存 未读 朋友圈看到去世的同学在朋友圈下面的回复时间一直在走 生命无常就更想珍惜拥有的一切 ​​​
可颂脑袋又回来了香酥的可颂真的早餐小天使 ​​​
电脑包翻出来的口红，被同事夸好看 ​​​
真太好笑了，午休被同事叫醒，说我到时间了却还在熟睡：是不是喝多了 ​​​
