#于朦胧去世# 小学的时候就认识了你，从小到大就觉得你很帅，如果提到我心中最标准最帅的古装男主脸，我都会想到你，虽然算不上你的粉丝，但你的离开也让我很难过，因为你看着就是那么温柔的一个人，长大了发现你好像很少出现在荧幕前，后来才知道你原来被雪藏了。但没事，有时候不火也是一种幸运。但 ​​​ ...展开
R.I.P🕯️
心好痛
#九三盛大阅兵#🇨🇳🗺️🕊️ ​​​
四月老子怎么跟你说的、 ​​​
求锦鲤
我和偶像之间隔着一湾浅浅的海峡🥹
一个内向的人和一个外向的人在一起，要么内向的人变得外向，要么外向的人变得内向 ​​​
别说他们了 我现在也想不起五星合力的咒语
第一次喝茶话弄 好好喝 ​​​
Lemonbeez《雨后彩虹桥 (Single Version)》雨后彩虹桥 @QQ音乐 听到这些熟悉的旋律，回看以前看过的动画，好想念十年前小小的我啊，曾经我是一个多美好的小女孩，会因为妈妈不让我看爸爸去哪儿趴在沙发上哭，会在日记本上写下“未来十年人生计划”，喜欢看小卖部五块钱一本的言情小说，作者 ​​​ ...展开
走不出来的一直是我
昨晚睡眠好差 一直醒… ​​​
C-block《The Second Love》（from《湘SHOW》）The Second Love @QQ音乐 单曲循坏一整天了😝😝 ​​​
一出考场就有小奶茶和小草莓🍓 ​​​
求姜姜老师保佑🙏
很喜欢台湾的艺人 希望我喜欢的台湾艺人们都有正确的价值观🙏🙏认清一个中国的原则
么么叽你再这么可爱呢 ​​​
想家了 ​​​
兰湘子我又来吃你了 ​​​
太好了又可以享受一晚的大床了哈哈哈哈哈哈 ​​​
24小时热水  超软大床  不用收费的洗衣机  私密的上厕所空间  温暖的火炉……_啊啊啊！我不要开学啊！！！ ​​​
踏马的怎么每个学期开学我都要买新水杯 ​​​
宝贝们我们来年再见 ​​​
哎。。亲戚家办酒席要杀两只羊  刚才不小心看到他们杀羊的过程  先杀第一只  另一只羊在旁边看见了就很害怕  拼命想挣脱绳子 看得我好难受哦 好想哭 ​​​
接
哈哈哈我弟真的是  马上要回学校了都笑不出来了 但我也是狠狠共情我弟了 想当年我也是这样过来的 ​​​
我已经选了几天的壁纸了就是选不到心仪的 ​​​
这就是红颜薄命吗
啊我真是受不了了 还不容易盼到来找我姐玩 结果感冒了  头好疼啊啊啊啊啊四肢发软啊啊啊啊 ​​​
这个月的大姨妈还挺善解人意的没有弄脏我的裤子 ​​​
0个人可以共情我。 ​​​
以后我一定要争气！一定要有自己的房子车子和稳定的工作 ​​​
感觉昨晚喝那杯奶茶有毒…喝了之后肚子好疼好难受… ​​​
开心开心 我也是有终极一班同款饮料的人了#终极一班3# ​​​
每天屁股往教室一坐就是一天 我不得便秘谁得 ​​​
#2024道个别#气死我了😡 ​​​
一切都会好转的❤️‍🩹 ​​​
我许愿有一条长长的围巾🧣 ​​​
第五人格你给老子去死吧 ​​​
我不会放弃视奸我的初中同学的👀 ​​​
世界的容错率很大 祝我不再被束缚 ​​​
11月底 收到了美美的生日礼物哦 ​​​
二比导员你到底想干嘛…… ​​​
最近特别迷各种茶…乌龙茶 茉莉茶… ​​​
为什么我不是那种天生就很瘦的体质 ​​​
兰湘子重度依赖*･゜ﾟ･*:.｡..｡.:*･'(*ﾟ▽ﾟ*)'･*:.｡. .｡.:*･゜ﾟ･* ​​​
今天早上起床好难过，怒吃两个粉丝蒸饺🥟 ​​​
我的MBTI人格从esfj变成isfj了 ​​​
好久没吃海底捞了 今天吃的特别香！心心念念的小柴犬总算是在今天拿下了  以后就好好陪我睡觉吧 ​​​
滚啊。。tmd ​​​
太撒比了 ​​​
接姨妈啊啊 我不想下个周出去玩的时候来啊 ​​​
不是说新发型丑三天吗 我这个私人刘海已经减了四天我还是没办法接受 马上要回学校了怎么办啊啊啊啊 ​​​
我这种人一辈子也就这样了吧 ​​​
二十几岁正是爱喝奶茶的年纪 ​​​
好难受 肚子好不舒服 好想吐 ​​​
幸福来之不易 ​​​
本来来姨妈就烦… ​​​
感觉这脑子好像有病一样 不上班的时候头一歪就能睡着 到了要上班的日子翻来覆去的睡不着 ​​​
不能把自己的坏情绪带给别人了 ​​​
分享图片 ​​​
而比老板还真给我发70块钱一天包辞职的 ​​​
今晚心情本来就不好 约了个车回家那个司机又让我等了一个小时  时间太晚了我就自己打车回家了  结果约的那个车的司机打电话和我吵架说特意给我留了位置我还先走了怎么怎么的  好吧好吧 我确实也做得不好  明明先约好了车 人家留了位置 自己就走掉确实挺不好的  但是转念一想他让我等了一个小时  明天又 ​​​ ...展开
现在心情就是特别特别的烦。。每天两眼一睁就tm去上班  天天起早贪黑 夏天又热又要天天洗澡换衣服 尼玛的死老板b事多给的钱又少  没见过干辅导老师工资能低到七十块钱的。。卫生是我们扫 教案是我们想  迟到了被扣工资的还是老子    一个破托管中心要求又多 开不起就不要请老师了 tmd有本事自己去上去 ​​​ ...展开
早上八点上班 通勤四十分钟 六点钟就爬起来化妆也是没谁了🤣我发誓我就只化今天这一次 每天早上起床第一件事就是后悔为什么要去上班🤣🤣 ​​​
一个字都不想多说 ​​​
好想我的赫赫小宝贝！！！ ​​​
我那迪士尼在逃公主的嫂子还有可爱的宝宝们 ​​​
