🆘
回复@momo磕cp专用号:我只知道她是因为狗狗才认识的 不然这货孤身一人在北京呢还看自身原因 你就是把忘本说的理所应当的人吧 真可怜🥺还在帮白眼狼说话 赶紧接好这泼天的富贵以后遇到的都是这种人吧//@momo磕cp专用号:回复@爱看你就看吧:为什么为什么？大家都去杭州，为啥？因为雪梨 ...展开
忘本逼//@hu不言:拉小群真的low。。更何况还是通过成果认识的朋友。好可怕的人//@争取做个自私鬼:做朋友知道你这个份上也是绝了恋爱方面我懒得评价，最讨厌撬别人朋友还装作无辜的人多大了？小时候玩小团体玩多了是不是？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@dc浅墨时:你怕是走不到，人家玩了那么多年的都被一脚踢开，你还指望走进心里//@孙甜可口_:这位学姐，请问一下你的心里怎么走
心疼@成果成果成狗 //@小黎勇敢向前:成果给你介绍资源介绍人脉你撬过来把人踢出局，你认识赵一博之前发展不顺性格敏感也得怨赵一博，他不给你名分你跟他闹跟他分愿意忍随便你，去折腾背叛过被拉黑一年多的前闺蜜是有什么毛病？连名分都是你前闺蜜被闹烦了替你撕来的，你前闺蜜情侣俩人和你男朋友各自被 ...展开
祝你遇到的都不是真心的朋友@雪梨大王 //@C不是小气包:笑死我了，背叛最好的朋友，把最好的朋友介绍给你的朋友，拉拢在你那边背后蛐蛐自己最好的朋友。舍不得骂男朋友，只敢去成果那边发泄拿成果当出气筒。你这种人也配有朋友。
骂成果的是不是脑子有病//@路过luguo0o:成果说了🍐能有今天的一切都是因为成果 🍐的朋友 资源 流量都是成果分享给她的 最后换来的是背刺 80和孤立 看清🍐本质拉黑一年后 人品被网友曝光后 又疯狂骚扰成果 这是斗米仇了 人家只是说清楚 让她不要再骚扰 她们连塑料姐妹花都不是了// ...展开
@雪梨大王 //@DORRIBLE:听说你就是那个恋爱脑为了个雕孤立朋友 出事了找朋友大倒苦水大喊“冤枉冤枉”不是我的错的伥鬼朋友到时候别等事情过去了又蹦出来卖惨 谁摊上你这么个朋友真是倒八辈子霉
@雪莉大王 说你呢
颠婆简直是//@这个女生还蛮在意的:而且还是自己背刺搞得人家气不过才拉黑 然后在男的那里受了委屈又让自己带走的之前成果的共友去骚扰纠缠的前闺蜜…这可太不是人了//@itavera:这女的也好绝，找个小七八岁的小男友，还指望他多有担当不就是幻想吗？自己受不了自己找男的撕，为什么要跟朋友勒索情绪啊， ...展开
点了
是这样了//@小八烤鱼:看有些粉丝有些言论真觉得挺好笑的 到底除了粉丝谁在乎他谈恋爱是不是污点？真正的重点是背刺朋友的胀鬼朋友和她的窝囊男友啊
如果我说话让你不舒服 那我绝对是故意的 ​​​
鹿鸣于 你为什么不能爱一爱我呢 ​​​
你不能骗我..我有一点喜欢你了..你到底是不是真的喜欢我真的爱我，如果你敢骗我一点我都会马上把你删了拉黑决不心软的。你敢骗我你就死定了知道吗卧槽呕……焦虑到呕你他妈要是敢骗我感情你死定了死定了我会杀了你捅死你掐死你烧死你勒死你 ​​​
我就这样推开所有喜欢我的人 然后说着没人爱我 ​​​
想找优质的对象为什么不先提升一下你自己？ ​​​
投稿的博主梦女病大爆发喽 //@杨烊羊的杨:什么东西啊～这个一个正常活动怎么就一起了，现场还有很多fs呢！
这也要拿到投？甘甘无妄之灾 惹你了？为什么不去骂投稿的人骂我们素人 嫂子瘾犯咯
乖女儿
你那么关注我做什么 我是你爹吗 看别人比你过得好自己过的不如意？阴沟里的老鼠 ​​​
我需要
随便能不能找到世界毁灭吧 ​​​
没有吧
我真是个很容易破防的小女孩 ​​​
我就//@好想喝芋泥椰奶:我就这样
如果你不喜欢 你可以比我先死 ​​​
你们竟然认识
生日快乐
是的
zbq
有些人是不是太闲还是太撑了那么在意别人的生活 ​​​
抽我
钱 我要钱
桃井爱莉说得对//@-Van1shed-:大家都是精神病人 你有把刀了不起天天发病？
宝宝美美
我跑//@来杯冰美式scps-:打过来我先跑
不是特别忙但就是不想跟你聊天那又怎么样跟不喜欢的人说话简直浪费时间 ​​​
我永远爱
长得比我丑的人不许当地偶 ​​​
好有劲我的天
😓
我要看
太帅了
我想抽象一下  致歉🙏🙏🙏🙏🙏🙏🙏🙏🙏back in the days❤️米奇美 米奇几 莫忒动me💅🏻躲衣桑内 格林马佩😙锅急急 俺能拿鸡😧 ​​​
不用焦虑宝宝，我一直觉得人生没有绝对的圆满，无论你选择哪条路，哪条路都是错的。@好想喝芋泥椰奶 ​​​
omg
我就喜欢看这个
想cjx了 ​​​
我都花钱了 我还要看你谈恋爱？//@Kim_0319:我都花钱了 我还要看你谈恋爱？
//@噢对了中午吃啥:放kpop早被审判一万次了，吃点好的行不行啊妹子们，愿世界像爱男一样爱我。。。
爬得越高摔的越惨哈 ​​​
中
我是不是得病了一点都不想动 ​​​
好萌
这是干嘛
恶 如 心 ​​​
有些人不会做人就滚回去回炉重造哈 ​​​
@好想喝芋泥椰奶 你去
恨全世界
有些人不想当客服就别当 ​​​
今天能不能看到@预言 ​​​
我真的好喜欢//@好想喝芋泥椰奶:我真的好喜欢
♪我正在收听王力宏 / 张靓颖的歌曲《另一个天堂》 另一个天堂 （来自@QQ音乐） ​​​
我也喜欢
还能见面吗燕子
分享图片 ​​​
偷我东西的都得折寿 ​​​
好累啊这辈子都不想出去玩了累的 ​​​
喜欢恶意视奸我的别看了 我过得比你好 ​​​
困如颠 ​​​
疑似模仿者玩多了哈
骗我钱的死骗子你真的好恶心赶紧下地狱我不会放过你的 ​​​
边掐着他脖子，边求他别死。 ​​​
卡哇伊 ​​​
哇塞//@好想喝芋泥椰奶:哇
如果用三个字来形容我的生活....网页链接 ​​​
