我死了
开心超话 小予之前是打篮球的，可惜伤退了，心疼小鸡毛，可惜我没能看到过她打球的样子，唉 ​​​
开心超话 今天晚上放学的时候下雨了，像我这样懒得带伞的人当然今天也不例外，可是她这两天感冒一直没好本来昨天不让我靠近她说我对她过敏，这个笨蛋怕传染我。。今天又把伞给我了自己淋雨回去，笨蛋笨蛋，哎呦，好不容易好一点又严重了我会愧疚亖的啊...今天给我带了小蛋糕和糖，当然也有手写信啦 ​​​ ...展开
11.6，凌晨小予真的很可爱，她总是不敢看我，想来找我又别扭的找借口，她总是突然给我送东西然后逃跑虽然会被我抓住哈哈哈，她给我写了一封一封手写信，温柔细腻的笔触温暖我，她说要记得吃饭要记得喝水要记得添衣，她会画一只可爱的小猫在最下面，小小一只特别可爱让人心软。我今天看见你了，在训练 ​​​ ...展开
恩佐太让人失望了
开心超话 这几天都很开心，没想到能有机会认识小予，我以为她这么帅的最多看看，没想到她主动加我啦还投喂我，她给我买了小挂件好萌的小熊还给我写了一封信，又害羞又感动，可爱宝宝 ​​​
不开心超话 10.24 心又被扔进了潮湿阴暗的房间，里面很闷很黑，我实在是讨厌这里。我早就忘了那些痛，我应该早就忘了。幸福?到底什么才是幸福，时间又在不经意间逝去，我该抓住什么。爱?什么才是爱?他逼我骂我说他爱我，恶心死了。她很乖蹭我的手心，可我只觉得一阵烦躁，她乖顺的模样实在碍眼。迷 ​​​ ...展开
今天该从何说起呢？那天我说自己的心像一汪死水，我没觉得是撒谎，可那天偶遇了还挺近三个月了吧，我不知道怎么说心跳漏了一拍吗？是吧，又开始控制不住思维飘散，蠢得要死我以为我已经遗忘了我以为我放下了，没关系，哪怕需要三五年哪怕像十指连心一样钻心的疼哪怕如临池刮骨一般的痛，我也要放下，要 ​​​ ...展开
很少再落笔，时间一天天过去现在没有了浓厚的情绪要靠写下些文字疏解，我忘了很多事只是脑海偶尔闪过一些片段，想起旧事时依然有一缕悲伤萦绕着我，但我能快些抽离出来，很多事没有后悔也没有重来，没有如果当初也没有也许以后了，快三个月了，有人提起时倒觉得有些恍惚。再遇见时我已经不会再颤抖想要 ​​​ ...展开
小艺，他比我小，追我的样子勾起了我一些回忆，他总是问我在干嘛总是想知道我和谁一起，他想见我约我出去想给我送东西，可是我一点也不喜欢他甚至有些排斥他，我不会再因为他的安慰陪伴感动甚至有些厌烦，不会因为他的关心喜爱开心，我不在乎他是不是伤心，他能对我失去兴趣就再好不过我警告过他别喜欢 ​​​ ...展开
开心超话 小茶的狗狗很可爱呢只是我有点小怕第一次这么这么近。昨天晚上回家的时候看见先前只是一轮弯月变成圆月了，又到中秋节了啊，时间怎么这么快，今年的中秋 小茶，我们一起过吧。明天给小茶带我最爱的冰皮月饼 ​​​
不开心超话 有个朋友分手了他眼眶红红的捏着他们曾经的东西发呆，我尝试安慰他果不其然失败了，我不知道怎么做，他的样子和那时候的我太像以至于我会一阵同情可怜他，但他今天笑眯眯地跟我说昨晚他说想送她回家就当作最后一次告别分别时他紧紧拥抱她，那个女生哭了他说被他感动了于是复合了，我能 ​​​ ...展开
不开心超话 现在每天都会写日记，我以为我的生活会一直这样平淡快乐下去了哪怕也许只是表面安稳，是很久不见了没对视前我都没有认出来，什么感受是恍惚了一下之后心里一直很慌又开始忍不住发抖，我不知道为什么甚至说不清是什么情感，我不爱她也不恨她，这和那时候看见她紧张害羞得发抖不一样和那 ​​​ ...展开
开心超话我喜欢现在的生活，每天和朋友们很开心，会有人给我带好吃的会有人陪我散步，只是觉总是睡不够，小茶依然很可爱今天生气不理她一直问我为什么不理她是不是生气了，她说她看见我害羞，这个笨蛋。那天晚上喝酒小乖一直和我发信息说来接我，我没想到她真的会来毕竟我喝酒后一上头总是不太能控 ​​​ ...展开
不开心超话小茶，今天不开心，但不想告诉你，我其实有些烦躁也有些生气但看到那片银杏叶就只想哭，我不记得那是什么时候捡的 ，唉，那个袋子是她送的吧，我不知道目的是什么还是单纯的用那个装，怎样都好，我的心很乱我不知道自己是不是生病了，小茶会给我语音讲睡前故事，我现在睡觉很晚她说这样 ​​​ ...展开
小茶今天抱抱我了，还给我带了咖啡，她在忙我让她弄玩再聊她说不会妨碍她陪我，小茶～小茶～她染了棕色头发好可爱，她说如果怕别人乱说可以让她做我的挡箭牌她也不会让别人乱说我，笨蛋茶，我不怕别人乱说他们说我喜欢茶，其实也没错 ​​​
笨蛋小茶昨天看见我和其他人聊天记录生气了，委屈巴巴的，买了点吃的哄她，她很开心又给我买了奶茶，她是个笨蛋一天吵着给我买这买那，她说我今天回她很快是不是没有和其他人聊，是的，她昨天看见后那副委屈的样子太可怜了，我答应她了只和她聊，小茶总说只有我一个宝宝，她惹我生气了说不可以生气，又 ​​​ ...展开
本来不应该发这个号的，但忍不住用这个号聊聊我和小茶，这个号对我的意义不同很多重要的人我都会想用这个号记录，和小茶聊天是我没想到的我们加了一个多月刚开始只是因为一些八卦就去加了她，她第一次和我发信息我知道原来我们那么多相似之处，她很可爱也很漂亮，我没想和她在一起，我不想为了一个人那 ​​​ ...展开
你们俩
amber老公老公
OMG……现象级老公
超级宝宝来咯
智敏比比
只想你能快乐地踢球
宝宝老公征服新发型了
哇哦好帅
宝宝你走路是蹦蹦跳跳的
宝宝你是一只特别可爱的小狗勾
md伟大
欧尼撒谎
好幸福要一直幸福下去
好吧感觉到世间的美好了
OMG姐姐怎么又美得这么轻松
上次抖音看到就好喜欢好喜欢，这个画风是我最爱的一种好伟大的画技我的白毛1 
漂亮姐姐
好吓人的比例
哦莫
笑得我想死了
宝宝你是一只聪明的小狗
我们都在痛苦中新生，如此反复着，
喜欢
宝宝……你是一坨会飞的小毛球
