愿得一人心，白首不相离。这个夙愿成了今生永远实现不了的奢望! ​​​
2025读书有感二与儿子读了曹文轩的系列图书，目前为止，对我触动最大、一直萦绕我脑海的就是《根鸟》了。​一个从不记得母亲模样，与父亲相依为命的少年，意外从一只鹰的腿上得到了一张求助纸条开始，展开了少年“”寻找神秘山谷”之旅。当少年踏上寻谷之旅时，他遇到了家族几代人得了一到十八岁就 ​​​ ...展开
心里刚打开点缝隙，想让阳光照进来，现在又拧成一个疙瘩又堵死了 ​​​
今天我在#百词斩#学了5个单词，已坚持584天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
当刺骨的寒风刚刚被和煦的春风赶走，我家这些小精灵却早早地苏醒过来，开启她们又一年的新生。      儿子每晚以要听着“拆迁大队激昂的号角声”入眠为理由，赖在我屋不走[捂脸][捂脸][捂脸][捂脸]​我也为了满足他的要求，每晚临睡前都要给这些小精灵们加夜餐。因此，做天我收获了今年的第一个金蚕茧 ​​​ ...展开
何须明言辩是非，万里晴空一虚空。 ​​​
子肺结节能帮一个是一个1、百合枸杞汤：适合阴虚火旺型肺结节患者【做法】准备百合、枸杞适量，将百合洗净，与枸杞一同放入锅中，加入适量清水，大火煮开后转小火煮30分钟左右。【作用】：滋阴润肺、清热散结，对于口干咽干、五心烦热等症状有一定缓解作用================================== ​​​ ...展开
一次特殊的经历，​原本应该愈合的伤口，因为缝合线不吸收，只好再行拆线，此过程比当初缝合时还要疼。       ​结痂的伤口，再被揭开，只为提醒你“你这里有个伤口，是我帮你缝合的!”      封建社会时期，能无缘无故结束一个权臣生命的人只有一个人!又​一次记忆犹新的成长!​ ​​​
#微博VLOG大赛##微博热门影集# 莫言-MY的微博视频 ​​​
假期跟孩子一起读曹文轩教授的书，让我对那些美丽、淳朴的海边村庄既充满了向往，又使我生活在那些年代的人们中发生的事感同身受。        ​大麦地原本是安静的、默默无闻的，因干校的到来开始变得热闹起来，也让两岸的青铜和葵花都对对岸产生了浓浓的兴趣。​葵花是不幸的。三岁丧母，在她的爸爸从 ​​​ ...展开
自驾东蒙——东三省第8天1、沈阳——张学良故居，一个充满传奇和浪漫的地方。只是参观的人太多，游览完大青楼出来，全身已湿透，来此的游客如果想好好欣赏这里，还是淡季来吧2、刘老根大舞台，给人们带来阵阵欢笑的大舞台，值得去观看一场演出。这次看到了徐微利、田娃、 ​​​
自驾东蒙——东三省第6天1、长春电影制片厂旧址   陈列馆内都是上世纪的物件，分分钟回忆起自己童年的光影。《长歌影魂》用话剧的形式讲述《董存瑞》、《赵一曼》、《英雄儿女》的英雄故事，让我们重温了革命烈士为心中的神圣理想、为新中国的崛起抛头颅、洒热血的精神，让我们更加珍惜当下美好生活! ​​​ ...展开
自驾东蒙——东三省第5天1、夜游哈尔滨中央大街，吃到了久违的马迭尔宾馆自制冰棍和老味道面包，还是12年前的价格，还是原来的味道2、极地公园极地馆，门票虽然将近200元，但是看到了世界唯一的白鲸表演，“海洋之心”“世纪之吻”还是物超所值的!还有最聪明顽皮的海豚表演一定要提前1个多小时去 ​​​ ...展开
自驾内蒙——东北第4天1、打卡齐齐哈尔动植物园，看到了久违的丹顶鹤。  提醒来此的朋友们网购票属于特价票，需要等提前购买，入园需要等待90-180分钟不等。2、晚上赶往热烈的哈尔滨 ​​​
自驾东蒙——齐齐哈尔第3天1、兴安盟参观《内蒙古民族解放博物馆》，在民族存亡之时，各民族同胞团结一心，勇御外敌。2、晚上到达齐齐哈尔，这座湿地之城，鹤之乡。晚餐当然少不了地道的烤肉。这家“屯里一家人”烤肉店简直太火了，不停的翻桌，食客也是络绎不绝 ​​​
