列表的宝宝们腰疼怎么办 ​​​
主播初中那会儿真的很能忍了 小学六年级那会儿校田径队练短跑膝盖拉伤了 疼了快三年始终没去拍片子 最后莫名其妙不疼了 后来初三下学期把髋关节拉伤了（好处是主播有好几个月都没参加体育中考的训练） 每天走路只能小碎步一瘸一拐的 每天捧着一大摞作业送去办公室再捧着一大摞作业送回教室更是疼得要死 ​​​ ...展开
瑞的乳酸菌美式永远都别下架好吗 ​​​
Repost
帅得我不行了
Repost
载入珉国史册
呃啊啊啊啊啊啊啊啊项目实训答辩的时候和老师吵起来了我连出分后骂他的文案都提前写好了结果最后给我打了高分这素在 ​​​
Repost
我真跪了 南通都巡到了 杨笠你能不能来青岛 ​​​
接陈粒济南场嘉宾徐佳莹/陈绮贞/焦安溥🙏接杨笠巡演到山东🙏 ​​​
撒娇女人最好命啊 ​​​
卧槽罗伯特你别说了 ​​​
哦//@花事了之后:遇水则发的发原来这个团人间蒸发了
我出生了
这么美这么萌这么帅女神我好想你
笑不活//@-月亮蘸白糖-:🐟条给于是道歉！//@冬浅子:我笑得好难受。//@待機電視84:我真不行了
心脏好痛 睡不着 ​​​
人到底怎么能厚脸皮成这样？明明在此五小时之前我们还在吵架你还在骂我和我妈，更不必说先前你当着我们的面骂了多少、背地里在街坊亲戚邻居面前造谣了多少，此刻有二十多个人围着，你竟然还能如此冠冕堂皇地说出你从未骂过我们从未和我们吵过架，那你平时在家故意把窗户打开朝着窗外大哭大闹大吼大叫是 ​​​ ...展开
在此之前我的梦想是死在挪威的雪地里 在看了这段视频后我的梦想变得和郑紫莉一样了（尽管动机不同）（没有想拖其它人下水的意思） 她偏爱灰色的微博视频 ​​​
2025了 我还在找破局的方法 ​​​
Share with pics ​​​
什么是小镇做题家。我所在的小学往前推五届只有一个人读了高中，初中辍学的更是数不胜数。在我小学五年级之前，我从来没有想过我会读大学。不是因为考不上，不是因为没钱上（但确实在我之后人生的很长一段时间里耳边都常常回响着“我们要攒钱供你读大学”这句话），只是觉得大学这个词与我所身处的现实 ​​​ ...展开
我非常讨厌的一句话是“ta好厉害，ta的家庭已经那么有钱了，ta却还那么努力，活该ta继续有钱”。富裕家庭的孩子所继承的远不止有形资产，一个人拥有能去努力的能力也是优越环境的产物。一个人是否有意愿、有能力去努力，并不是完全由个人意志所决定的。它深受家庭氛围、教育机会、角色模型和心理安全 ​​​ ...展开
其实先看到的是这一条 点进评论区后沉默了 转完上一条再来看这一条 心情是： 查看图片
//@与大猫旅行之穿越无限宇宙版:恶劣的家庭氛围，不间断的争吵，时刻pua打压冷嘲热讽的爹，神经质一惊一乍的妈，时时刻刻消耗人的心力，被迫子女亲职化，给两个搞不好自己人生满腹怨气的成年人当精神父母//@刀卜卜:很多贫困家庭（金钱和精神支持都不足的那种）的孩子高中开始跌落所谓的“聪明线”，以 ...展开
Repost
美美美美美
小宝宝萌得我不行了
lzm你满意了吧 这下真变成阿呆了
Repost
：//@吃瓜罗伯特: 一个创造世界，一个炸平世界，不好选啊
//@小虎他姨: 说是消费男色，实际都是事业粉。是不是女性从小被教育不要拼事业，家庭才是你的归宿，所以没有想过可以拼自己的事业，而那些无处安放的事业心就投射在偶像身上了。另一种就是助君上青云的贤妻思想深入骨髓。
太久没听国足了 感觉随便点开一首都能开始哭 ​​​
小时候一直很怕小猫小狗。小学那会儿，有一天妈妈下班骑车回到家后，发现电动车后座不知从何时开始多了一只小泰迪。从妈妈上班的地方到家有七八公里的距离，范围太广，加上没有太多网络渠道，最后找失主的事也就不了了之了。小狗在我家待了一个多月，我始终视小狗为一个有着未知力量的陌生生物，从未鼓 ​​​ ...展开
御井烹香你去哪里了 ​​​
Repost
好想去can ​​​
梵西沃你们能不能把伊甸园那张专重新混下音、、、 ​​​
谁敢吃 ​​​
陈粒你敢不敢来青岛…… ​​​
Repost
蒂靡了 ​​​
完全是为了活着在吃 ​​​
我人生的夏天就是Red Velvet
以前唯一的人生信条是等我变有钱就会有力量追寻爱与幸福 现在只觉得只有爱和幸福才能让我变有钱然后再获得源源不断的幸福然后更有钱然后更幸福 ​​​
//@金依依金依依:amazing
好想穿越回去问问自己是怎么做到的 为什么过了那么多年还是每天都在哭
//@全自动取猫机://@胖子很可以://@酷囊-://@狗派天下第一:不是为了这种事而来的，但却总是总是总是在谈论这种事，因为不得不谈论，你没办法看见血溅到脚边上不惊叫出声的
Repost
