“  流失海外的辽代木雕《水月观音像》... ”丨现藏于美国纳尔逊阿特金斯博物馆 ​​​
在这个纷繁复杂的世界里，真心就如同一盏明灯，照亮彼此前行的道路。有了真心的交流与互动，我们才能在彼此的生命中留下温暖而深刻的印记。朋友之间的情谊，也会在真心的浇灌下日益深厚，成为我们人生中最宝贵的财富。 ​​​
“  中国人如果永远不放弃山水画，中国人的胸襟永远都是阔大的  … ”丨 傅抱石 ​ ​​​
来pick你最喜欢的角色！ 来pick你最喜欢的角色！黄亦玫 我的点评：#超会评开分# ​​​
古人云：“知人不必言尽，言尽则无友；责人不必苛尽，苛尽则众远；敬人不必卑尽，卑尽则少骨。”这其中的智慧，正是我们为人处世的宝典。话说三分，留德与人；事做七分，留心观察；待人以宽，留路于己。 ​​​
醉折一枝簪鬓睡，晓来印却枕痕香。 ​​​
情怀已酿青红紫，未品酸甜尽可知 .. ​​​
做人要方，如金石之坚，立世之基；做事需圆，似流水之柔，应变之道。方者，方正也，心正方能品正；圆者，圆通也，行圆才能事圆。方与圆，非对立也，乃相成之道。 ​​​
曾仕强老先生很通透的一句话，瞬间醍醐灌顶：“不要随便可怜别人，心软之人，都是无福之人。千万记住，心软是病，情深致命，太多因为可怜别人，最后自己变得可怜的人，心软，看似豁达，实则愚钝，看似善良，实则懦弱。”其实，很多事情，不是我们所能决定的，个人有个人的命运，也有欢喜又有忧愁。不 ​​​ ...展开
【《天道》受用一生的30句经典台词】1、过于沉静的外表，恰恰诠释着他的内心的沉重。2、知之为不知，不知更非知。3、天下之道论到极至，百姓的柴米油盐；人生冷暖论到极至，男人和女人的一个情字。4、想要干好事，记住两句话，别把自己太当人，别把别人太不当人了。5、我是老想活个明白，老 ​​​ ...展开
50句古籍名句，50个处世智慧，太经典，人生至少读一遍。1 、蚊虫遭扇打，只因嘴伤人！——《增广贤文·下集》2 、不是一番寒彻骨，怎得梅花扑鼻香！——《醒世恒言·卷十七》3、 落花有意随流水，流水无心恋落花。——《警世通言·卷二十一》4、 长江后浪推前浪，世上新人赶旧人。——《增广 ​​​ ...展开
世事如棋，人生如梦。物随心转，境由心造，烦恼皆由心生。把心还给宁静，放下其他，让心安宁。放下过去，顺其自然，无论何时何地都要有一颗安闲自在的心。自在便是心的归宿。 ​​​
速得广大智慧——《增慧陀罗尼经》宋西天译经三藏朝散大夫 试鸿胪卿传法大师施护奉诏译如是我闻。一时。大慧菩萨住须弥山顶。尔时。诸天子等来诣菩萨。恭敬围绕而为听法。时。有菩萨名童子相。合掌恭敬白大慧菩萨。唯愿慈悲。为我等故。说增慧陀罗尼。所有一切少智钝根愚昧众生。令使得闻。增 ​​​ ...展开
究竟是什么因缘，竟令五百阿罗汉都为之摇头？本师释迦牟尼佛在《吉祥经》中教导我们：及时闻教法，是为最吉祥。我们不妨静下心来仔细想想，听闻佛法为什么要及时呢？因为人命无常，人身难得，佛法难闻，善知识难遇，所以千万不要错过听闻佛法精进修行的好机会。《法华经》云：若人散乱心，入于塔庙中 ​​​ ...展开
高手的处世智慧1，不当面跟任何人发生冲突，即使不喜欢的人，明面上也要保持和气。2，管好嘴巴，不说自己的目标，不说自己的钱财，不说自己的家事，不说自己的错事守住这四个秘密，免灾祸，远是非。3，说点好话，你就能搞定50%的人，给点东西，就能搞定70%的人，说点好话，再给点东西，你就能搞 ​​​ ...展开
万法皆空，因果不空，福报都是自己修来的。不要太在乎一切，不要太在乎孩子，也不要太在乎身边的亲密关系，在任何关系当中，包括亲子关系，亲密关系，一切如流沙，你握的越紧，流失的越快，你越在意什么，就越容易失去什么。 ​​​
真的很绝杀的一段话：“如果你抑郁了，说明你活在过去；如果你焦虑了，说明你活在未来；如果你平静了，才说明你活在现在。当你真正开始爱自己的时候，你就会睡的越来越早，也越来越喜欢锻炼，你不再纠结和焦虑，变得自信满满。去追求有意义的人和事，这个时候，你就会发现，人生才刚刚开始。把时间分 ​​​ ...展开
人是怎么变强的？1，永远不要问别人原因。记住，人越聪明，话越少，威严就越盛，能量场就越强，金钱就越多。2，牛逼的人，从来不给别人提供资源。傻逼的人，一天到晚提供资源给别人，还寄托希望别人感恩自己。没有人感恩您，他们只会认为自己的运气好。3，强者永远不为自己辩解，低价值的人总是 ​​​ ...展开
醍醐灌顶14句：​1、当事态不利于你的时候，尽量闭嘴，静就是吉，不乱就是不错。真正的强大不是对抗，而是允许发生。允许遗憾、愚蠢，丑恶，虚伪，允许付出没有回报。尤其是心，千万不能乱，事缓则圆，顺时多做事，逆时多看书。​​2、千万不要混，你一个月5000元，一年60000元，20岁混到 30 岁10年 ​​​ ...展开
＇茶道超话 ​​​
茶道超话
“  铃儿花 ... ” ​​​
“  晕红围绿海棠春 … ” ​ ​​​
看人，不要用眼睛去看，容易看走眼，更不要用耳朵去听，因为可能是谎言。只要用时间，用心去感受，真的假不了，假的也真不了。 ​​​​
【 今日 · 立春 】--- “ 立春，农历二十四节气中的第一个节气。立春是中国民间重要的传统节日之一。“立”是“开始”的意思，春是温暖，鸟语花香；春是生长，耕耘播种。立春这天“阳和起蛰，品物皆春”，过了立春，万物复苏生机勃勃，一年四季从此开始了” 。 ​#立春# ​​​
无论何种境地，都不要抱怨世态，不能放弃底线，不必嫉恨他人。不贪，欲念就少；不嗔，心就易平；不求，就常知足。随缘顺缘，遇上了请珍惜；别过了道珍重。 ​​​
手机桌面版图 ​​​
2024新年祝福语丨除夕夜春节小众文案 ​​​
人，也只有在独立的修行当中，慢慢地认识自己，找到自己，然后修炼自己，锻炼自己，打造自己。人，只有学会独，才能得到立，也只有在自立的过程当中，修正自己，完善自己，最终才能够真正成就自己。 ​​​
人生的本质，就是一场百年孤独。与其害怕孤独，在众声鼎沸中迷失自己。不如悦纳孤独，学会独处，活出一个人的自在。 ​​​
人的四大局限：1:时间的局限：夏虫不可语冰。不要给夏天的虫子讨论冰雪，夏虫从来没有见过冬天，在它的世界里，是没有冰雪的。2:空间的局限：井蛙不可语海。不要跟井底之蛙讲大海的辽阔，井底之蛙的天空就只有井口那么大，也从来不知道大海的存在。3:视野的局限：盲人不可语光；不要跟盲人描述世 ​​​ ...展开
行至水穷路自横，坐看云起云亦高。路旁有路，心内有心，凭的是眼界和心胸！舍不得放下的获取如同手拿滚烫的山芋，烫伤的是自己；放下，是勇气，更是智慧。一念放下，万般自在，人生，赢就赢在敢于放下。 ​​​
人之所以烦恼，在于记忆。人之所以心累，在于徘徊。人之所以前行，在于感恩。人之所以快乐，在于豁达。其实人生真正的幸福，就在于随缘。 ​​​
人生之事不必过于苛求，期待之事往往反向所得。所以过往不再纠结，未来不再期待，活在当下，才是最好的珍惜与拥有。尽人事，听天命，顺其自然，得失随缘，人生最终的一切𨚫需坦然面对。 ​​​
（2024年元月1日元旦 农历癸卯年冬月廿早起发愿文）美好的一天从晨起发菩提心开始。今天，所有见我面的，听我声的，闻我名的众生，都因我而喜悦祥和，心得清净，少欲少恼，种下一颗菩提种子。今天，愿我所做的一切功德，所修的一切善根，回向尽虚空遍法界的所有众生，愿他们解脱烦恼，身心健康，离苦 ​​​ ...展开
